x,y
99,83
99,81
99,81
98,83
97,84
95,85
95,84
95,84
96,84
95,84
94,84
94,84
94,83
94,83
93,83
91,86
89,88
88,88
88,88
89,88
88,87
88,87
87,87
88,85
88,85
88,84
85,83
87,83
87,85
86,85
87,83
87,81
88,81
90,79
90,78
91,76
89,77
88,76
87,75
86,75
87,74
88,72
87,70
84,74
84,75
86,76
86,77
85,75
85,74
85,75
86,76
87,76
88,77
88,76
90,75
91,74
90,75
90,75
89,77
90,80
90,82
90,87
90,90
90,92
92,93
92,95
91,96
92,94
93,93
92,92
90,89
89,88
90,88
89,90
89,90
88,93
88,95
89,96
88,97
87,97
86,97
86,97
86,97
86,97
85,96
84,93
83,92
83,86
82,83
84,83
85,83
87,83
88,83
90,82
90,82
91,81
93,81
93,81
93,81
93,81
93,82
93,83
93,84
93,85
93,86
93,88
93,89
94,89
93,87
93,87
94,87
95,88
95,89
95,89
96,90
97,92
97,94
97,97
98,99
97,99
98,99
98,98
94,94
94,93
97,92
95,94
95,96
96,96
96,96
98,97
98,97
98,98
96,100
96,100
96,100
97,99
97,99
98,98
98,99
100,103
100,105
100,105
99,107
100,111
99,112
99,111
100,108
100,104
100,99
100,95
69,1018
70,1017
71,1015
72,1014
74,1016
72,1022
72,1023
74,1024
72,1027
72,1028
70,1030
70,1029
70,1028
70,1027
69,1028
70,1028
71,1031
71,1029
72,1029
73,1026
76,1026
76,1026
78,1027
78,1028
81,1027
83,1027
83,1027
82,1025
81,1025
82,1025
82,1026
83,1027
83,1027
84,1027
83,1026
85,1025
87,1025
87,1025
86,1022
84,1022
83,1021
80,1025
80,1026
79,1027
78,1026
77,1026
77,1026
77,1025
77,1024
77,1025
75,1027
75,1026
74,1025
74,1027
74,1027
74,1030
74,1031
74,1031
74,1030
73,1026
71,1024
71,1023
72,1020
72,1019
71,1019
71,1021
70,1023
70,1023
70,1023
71,1023
72,1022
72,1020
75,1017
76,1016
77,1012
78,1011
79,1009
81,1007
82,1006
83,1005
85,1005
86,1005
85,1005
85,1005
84,1005
84,1007
84,1007
85,1006
86,1008
86,1008
87,1010
87,1010
87,1011
88,1012
89,1012
89,1013
88,1013
85,1015
84,1014
84,1013
84,1013
84,1012
83,1012
82,1012
83,1011
84,1012
84,1012
83,1014
84,1014
84,1014
86,1014
86,1015
86,1015
86,1016
85,1017
84,1017
85,1017
87,1017
87,1018
87,1020
86,1022
85,1021
83,1021
82,1021
81,1021
80,1020
80,1018
80,1018
79,1019
78,1019
78,1019
78,1020
77,1020
76,1021
78,1021
80,1020
80,1019
80,1019
81,1019
80,1019
79,1019
79,1019
80,1020
82,1022
83,1024
84,1028
84,1029
83,1030
81,1030
81,1029
1824,89
1828,88
1830,85
1830,85
1827,85
1828,85
1827,84
1828,83
1828,82
1830,80
1830,80
1832,80
1832,80
1831,80
1830,79
1830,78
1829,79
1829,79
1828,80
1828,80
1827,81
1827,81
1830,81
1832,81
1832,80
1832,80
1832,81
1831,80
1831,80
1832,80
1833,77
1833,75
1834,71
1833,71
1833,71
1834,74
1833,74
1834,74
1834,74
1834,74
1833,76
1832,77
1832,77
1832,76
1830,77
1829,79
1829,80
1830,78
1829,78
1829,80
1828,81
1827,82
1827,84
1828,85
1829,85
1829,85
1829,83
1829,82
1829,81
1828,81
1828,81
1828,81
1828,82
1828,82
1827,83
1826,82
1824,83
1823,83
1823,83
1824,83
1824,82
1825,80
1825,81
1824,82
1825,83
1824,84
1823,84
1821,85
1821,86
1820,85
1820,85
1819,87
1819,89
1819,89
1819,91
1819,92
1817,93
1815,97
1814,101
1813,102
1812,102
1813,100
1812,100
1812,101
1813,102
1814,102
1814,101
1815,101
1814,101
1812,99
1812,99
1812,100
1812,101
1811,100
1811,99
1810,99
1810,98
1811,97
1810,95
1810,97
1810,98
1811,99
1811,99
1811,100
1810,100
1810,100
1808,99
1808,99
1807,100
1807,100
1807,100
1809,100
1810,100
1810,102
1809,102
1809,102
1810,103
1811,103
1811,103
1812,104
1813,102
1813,102
1814,100
1814,99
1813,99
1813,101
1813,103
1813,104
1812,106
1813,107
1813,107
1813,106
1813,106
1813,105
1814,105
1816,101
1819,97
1819,97
1820,99
1821,100
1832,1024
1830,1022
1830,1021
1825,1019
1825,1020
1824,1022
1823,1021
1819,1015
1819,1014
1817,1010
1814,1006
1813,1006
1811,1008
1810,1008
1807,1008
1805,1008
1801,1009
1800,1010
1799,1011
1801,1016
1802,1016
1804,1020
1805,1022
1805,1022
1807,1024
1807,1024
1807,1023
1808,1021
1808,1021
1808,1021
1809,1021
1808,1021
1807,1023
1807,1024
1807,1025
1807,1025
1807,1026
1805,1025
1804,1024
1806,1021
1807,1016
1807,1014
1808,1013
1809,1015
1810,1015
1811,1014
1811,1013
1812,1011
1812,1009
1812,1008
1812,1008
1813,1010
1812,1010
1812,1009
1812,1010
1811,1011
1810,1013
1809,1014
1809,1015
1811,1016
1811,1017
1813,1019
1814,1019
1816,1018
1816,1018
1817,1019
1817,1018
1819,1016
1820,1016
1820,1017
1820,1016
1821,1014
1822,1013
1822,1013
1822,1013
1822,1014
1823,1014
1822,1013
1823,1012
1821,1011
1821,1010
1821,1010
1821,1011
1819,1014
1818,1015
1817,1013
1815,1011
1815,1011
1814,1009
1814,1010
1813,1010
1815,1013
1817,1015
1818,1016
1817,1018
1818,1019
1818,1019
1818,1016
1818,1014
1818,1013
1820,1011
1820,1010
1821,1009
1821,1009
1822,1010
1818,1010
1818,1009
1817,1009
1817,1009
1818,1009
1818,1009
1818,1010
1819,1013
1819,1014
1818,1014
1818,1014
1818,1014
1818,1016
1817,1016
1816,1016
1817,1014
1819,1012
1822,1011
1823,1012
1825,1012
1825,1011
1825,1011
1827,1011
1828,1012
1830,1011
1831,1010
1832,1011
1833,1011
1833,1011
1833,1010
1833,1007
1833,1006
1832,1007
1833,1009
1833,1010
1833,1010
1834,1011
1833,1013
1834,1013
1834,1013
1834,1012
1835,1013
1835,1013
1835,1014
1833,1015
970,534
968,534
966,533
959,530
959,530
958,529
957,528
955,526
954,526
953,526
953,525
955,525
954,526
954,527
954,528
955,530
956,531
957,533
957,533
957,533
958,532
958,532
958,533
959,533
963,533
963,533
965,532
963,534
963,534
962,533
962,532
962,528
963,524
964,523
965,519
964,517
965,518
964,519
965,519
966,519
966,519
966,517
966,516
965,517
964,518
963,520
962,518
962,517
963,520
964,524
963,526
964,530
966,532
965,534
965,533
964,531
962,530
963,532
963,534
964,536
967,537
967,535
968,533
967,533
966,533
966,533
967,533
968,535
969,537
969,538
968,538
968,536
968,536
969,534
968,532
968,531
967,529
966,528
965,528
965,529
966,528
967,529
966,529
966,529
967,529
966,529
965,531
964,531
961,532
961,533
958,532
957,529
957,528
959,529
959,530
959,527
957,525
956,526
956,526
955,528
954,530
955,532
955,534
954,537
954,537
955,535
955,533
955,533
956,529
957,528
959,526
963,526
964,527
964,531
963,534
962,533
962,534
961,533
961,534
964,535
964,535
963,535
963,536
963,536
963,536
963,536
963,538
963,539
964,538
963,539
963,542
962,543
962,540
962,540
962,539
962,540
961,540
961,540
961,542
964,543
963,544
962,545
964,544
964,543
964,545
964,545
964,543
963,543
962,543
962,544
478,524
479,525
480,523
480,522
476,524
475,524
471,526
470,527
471,532
468,535
467,535
465,538
464,537
465,537
466,540
467,541
467,540
467,537
466,533
466,531
466,531
467,531
468,533
468,532
467,531
467,532
467,533
466,533
466,533
467,534
468,534
469,532
468,528
468,527
470,528
471,526
471,526
471,523
472,523
472,522
473,522
472,522
470,521
470,521
471,522
470,522
469,523
469,524
469,525
468,526
467,527
468,528
469,529
468,530
468,530
469,528
469,528
469,528
469,527
468,528
467,529
467,528
467,528
467,527
467,528
468,528
467,529
468,532
468,533
467,536
468,537
466,537
466,537
466,536
467,532
468,531
470,529
473,528
474,528
473,526
473,525
473,524
474,526
474,527
474,527
472,526
472,524
473,525
473,526
472,525
473,526
474,526
475,528
475,531
475,535
475,536
475,537
475,536
475,534
475,534
475,533
475,534
473,534
473,532
473,531
473,533
472,533
472,531
472,532
471,532
470,534
470,534
469,534
469,533
467,535
466,536
466,538
467,540
467,543
466,543
465,543
465,544
465,543
465,543
464,541
462,540
462,541
463,542
466,542
467,541
467,542
467,542
466,542
467,542
468,544
469,545
469,545
468,545
469,545
469,544
469,543
468,544
469,547
469,548
470,547
470,549
470,549
470,549
471,548
472,548
1061,306
1031,302
1019,301
990,294
982,290
967,285
963,287
962,287
959,290
959,289
959,287
961,286
961,285
962,286
962,285
964,282
962,281
962,281
960,280
960,280
960,279
959,279
960,279
962,277
963,279
962,280
962,280
962,281
962,281
961,279
962,278
962,278
961,280
960,282
959,285
959,286
961,289
960,293
960,293
960,293
961,292
963,291
964,291
964,291
963,291
964,290
965,288
965,284
966,284
967,284
967,284
966,283
967,282
965,282
967,282
967,282
966,283
965,284
966,285
965,283
964,281
964,281
964,281
965,281
963,284
963,284
962,288
962,289
962,290
963,290
963,289
963,290
962,291
962,292
961,294
962,296
962,296
962,296
960,295
959,294
958,292
956,292
957,293
957,294
957,293
958,290
958,289
957,289
957,288
957,287
957,284
957,283
955,281
959,280
959,282
959,283
959,285
960,286
959,287
960,288
960,288
961,288
961,287
962,288
961,286
962,287
962,288
962,288
962,289
962,291
963,292
963,293
963,292
962,291
963,292
962,296
962,299
962,299
961,298
961,297
959,295
959,294
959,295
959,296
959,298
957,299
958,299
959,297
960,296
961,296
962,296
961,296
960,294
960,294
959,294
957,294
957,295
955,296
955,296
955,296
955,297
954,298
954,298
955,296
955,292
955,291
955,288
956,287
956,287
957,284
1450,531
1449,531
1450,530
1450,530
1451,528
1451,527
1449,528
1449,528
1449,529
1450,527
1450,526
1451,523
1450,521
1450,519
1450,519
1450,522
1451,523
1451,524
1452,525
1452,525
1451,526
1450,525
1450,525
1450,526
1452,524
1452,524
1454,522
1455,523
1456,523
1457,523
1457,523
1457,525
1457,525
1459,522
1461,518
1462,518
1460,518
1459,517
1457,518
1457,520
1456,522
1454,525
1454,526
1454,527
1454,527
1453,527
1452,527
1453,528
1453,528
1451,528
1451,528
1451,527
1451,526
1451,525
1453,523
1456,519
1457,519
1461,519
1462,520
1464,519
1465,517
1464,518
1463,519
1462,520
1462,520
1462,520
1462,521
1462,521
1462,522
1461,522
1459,521
1458,521
1457,522
1457,521
1456,521
1456,521
1458,521
1458,521
1460,521
1462,522
1462,523
1462,525
1463,526
1462,526
1464,523
1464,522
1464,520
1463,521
1463,521
1463,522
1463,522
1463,521
1462,522
1462,524
1460,522
1458,523
1454,522
1453,522
1452,523
1453,524
1453,526
1453,527
1452,527
1453,526
1452,525
1452,524
1452,521
