x,y
145,79
147,79
148,79
146,77
145,77
153,93
149,89
149,89
150,91
150,92
149,94
148,95
149,97
104,91
140,134
143,119
143,115
144,110
145,105
146,103
147,96
148,94
151,89
153,87
153,88
153,89
153,89
151,89
151,89
150,89
151,89
152,90
153,91
153,93
152,93
152,93
152,92
153,91
153,91
155,93
154,91
154,91
154,91
154,90
154,90
154,89
154,87
155,86
154,85
154,86
155,86
155,86
155,84
155,83
157,79
159,77
159,77
158,78
158,79
158,80
159,83
155,105
159,99
161,96
160,95
148,126
152,114
157,103
158,100
160,90
161,88
162,82
165,76
166,76
166,75
164,75
163,77
162,77
163,76
166,77
166,78
167,80
167,81
167,83
165,83
165,83
165,84
165,84
166,83
166,83
165,84
164,84
162,83
162,81
162,82
160,84
158,85
157,85
155,86
152,86
152,86
153,86
153,85
154,83
154,83
153,84
153,84
155,84
156,84
156,83
149,100
148,99
149,92
148,88
149,86
149,84
149,85
151,86
151,86
155,89
148,103
150,101
151,96
151,92
153,88
152,85
153,82
156,80
155,79
154,78
142,80
145,84
146,85
147,85
150,85
152,85
152,84
152,84
152,84
152,83
149,83
148,82
148,80
149,80
150,82
151,85
151,86
151,87
150,87
150,89
77,1031
82,1030
79,1023
81,1018
85,1014
89,1010
90,1005
93,993
92,996
91,1001
91,1002
84,1000
83,999
82,998
82,996
81,994
81,994
82,992
83,991
82,993
83,996
83,996
80,995
79,995
77,995
79,995
80,994
81,994
60,1017
66,1014
68,1012
72,1008
75,1005
79,1002
80,1003
77,1002
77,1003
77,1004
66,1051
68,1045
70,1033
70,1026
67,1017
69,1012
69,1007
68,1003
68,1003
70,1005
66,1004
67,1003
74,998
74,997
75,995
76,994
78,991
79,991
85,989
88,992
88,993
81,994
78,996
78,997
78,1000
69,1027
71,1018
71,1012
72,1005
71,1003
71,1003
68,1015
46,998
65,1008
69,1005
70,1003
70,1000
71,1001
71,1002
70,1001
70,1000
69,999
71,997
71,996
71,994
71,995
70,996
69,997
70,998
71,1000
72,999
74,997
74,997
72,999
73,1000
74,1001
76,1003
75,1004
73,1004
73,1005
76,1005
78,1004
78,1004
79,1004
79,1005
79,1010
79,1013
80,1011
82,1008
83,1007
85,1006
86,1004
89,1001
90,1002
89,1003
87,1006
86,1007
84,1011
84,1011
84,1011
83,1012
82,1012
81,1009
78,1006
77,1004
77,1001
77,1000
80,1000
80,1000
81,1000
82,1000
85,1002
86,1081
85,1055
84,1051
82,1037
83,1033
83,1027
81,1020
82,1017
80,1016
79,1016
80,1012
78,1009
77,1008
76,1007
73,1008
45,1018
35,1013
40,1011
49,1009
55,1008
1837,82
1837,81
1837,81
1838,81
1844,78
1844,78
1843,78
1844,77
1846,76
1848,74
1848,74
1849,74
1849,73
1850,75
1849,74
1849,75
1847,73
1847,73
1845,71
1843,72
1841,73
1841,72
1840,72
1839,71
1838,70
1835,70
1834,69
1833,70
1831,72
1829,76
1827,79
1825,78
1827,78
1828,83
1829,84
1829,86
1829,85
1832,84
1837,84
1838,84
1842,81
1843,81
1845,81
1848,80
1849,78
1847,75
1847,77
1847,78
1846,78
1846,77
1847,79
1847,79
1848,78
1850,76
1849,76
1847,76
1848,75
1848,75
1852,74
1851,74
1844,75
1837,71
1836,69
1835,66
1834,66
1833,65
1836,61
1837,61
1838,63
1837,65
1840,66
1841,68
1842,69
1843,71
1845,71
1848,68
1849,67
1851,68
1852,69
1852,70
1851,68
1847,67
1843,65
1840,66
1839,68
1837,71
1833,75
1835,73
1836,71
1839,71
1842,70
1844,69
1845,68
1848,61
1850,59
1854,57
1855,55
1854,49
1852,47
1852,46
1852,44
1851,43
1852,42
1852,42
1851,48
1848,51
1849,51
1850,52
1850,52
1848,53
1847,53
1847,53
1847,54
1846,54
1844,55
1844,55
1844,59
1845,59
1845,59
1844,61
1844,62
1847,64
1846,66
1845,67
1843,72
1845,73
1847,71
1847,73
1845,75
1845,75
1844,75
1842,76
1841,77
1840,78
1843,78
1843,77
1844,76
1844,76
1848,76
1850,77
1853,78
1856,77
1857,76
1859,76
1859,77
1858,76
1858,76
1857,76
1857,76
1856,75
1873,1022
1873,1022
1876,1023
1877,1021
1877,1021
1878,1019
1878,1018
1877,1018
1878,1018
1880,1017
1882,1015
1882,1015
1884,1016
1884,1016
1883,1019
1885,1018
1885,1015
1884,1015
1883,1015
1885,1017
1887,1016
1887,1015
1887,1014
1887,1012
1889,1007
1887,1008
1887,1009
1885,1011
1883,1011
1884,1011
1886,1012
1886,1011
1887,1011
1884,1011
1883,1010
1879,1011
1878,1012
1878,1013
1878,1012
1878,1009
1879,1009
1880,1009
1880,1009
1879,1009
1878,1012
1878,1012
1877,1013
1878,1011
1876,1014
1875,1016
1875,1017
1876,1014
1877,1012
1877,1011
1878,1011
1878,1012
1878,1011
1878,1011
1875,1009
1875,1006
1873,1005
1875,1003
1875,1004
1876,1003
1875,1004
1873,1007
1873,1008
1873,1006
1874,1005
1874,1006
1871,1008
1870,1010
1872,1010
1872,1008
1870,1009
1866,1011
1867,1011
1865,1013
1864,1015
1864,1015
1864,1016
1866,1016
1871,1018
1878,1018
1878,1020
1877,1024
1875,1025
1875,1025
1875,1024
1876,1025
1875,1024
1875,1023
1876,1023
1875,1023
1875,1023
1878,1021
1878,1023
1877,1022
1878,1020
1879,1019
1880,1021
1879,1022
1880,1018
1878,1017
1877,1021
1877,1023
1877,1024
1877,1022
1878,1023
1879,1023
1878,1023
1878,1023
1877,1022
1875,1022
1874,1022
1873,1023
1873,1027
1871,1027
1871,1027
1869,1027
1867,1027
1864,1024
1865,1020
1865,1018
1865,1015
1865,1015
1866,1017
1866,1018
1862,1017
1860,1018
1860,1019
1860,1023
1861,1025
1861,1026
1861,1030
1860,1032
1857,1033
1856,1033
1857,1032
1856,1033
1855,1034
1855,1034
1855,1034
1855,1034
1853,1032
1851,1030
1850,1029
1849,1028
1848,1027
1848,1031
977,552
977,554
977,554
980,556
980,556
981,552
984,550
984,550
982,549
982,549
983,549
983,549
982,550
981,550
983,549
984,548
985,548
984,547
984,546
984,548
984,549
984,550
983,550
982,554
982,554
983,554
983,553
987,553
989,554
991,552
992,550
993,550
992,549
992,549
993,548
993,547
992,546
991,547
991,548
991,550
990,551
989,552
989,553
989,554
990,553
990,553
990,553
993,553
993,553
993,554
992,554
993,555
992,555
992,555
993,554
992,555
992,559
992,561
991,561
989,560
988,560
988,562
988,563
988,561
989,561
989,558
989,556
986,556
983,553
979,551
976,553
976,554
975,553
976,552
976,551
973,549
976,547
978,547
983,547
983,546
985,546
987,545
988,545
989,544
988,545
988,547
989,550
986,555
984,557
986,556
988,553
988,552
989,551
987,553
987,555
989,562
989,562
988,557
989,555
989,553
990,551
991,550
992,552
993,553
993,554
993,552
992,552
990,555
988,556
989,556
989,556
987,558
987,558
990,559
992,560
992,561
991,560
990,559
989,559
990,557
990,558
990,559
991,558
990,557
988,556
988,556
989,555
989,554
989,553
990,552
990,550
984,550
981,552
978,553
976,551
975,548
977,550
977,551
976,549
976,548
976,547
974,549
974,551
975,556
974,556
973,556
973,556
973,553
972,551
971,551
480,525
480,524
483,525
486,526
486,526
488,528
486,526
487,526
488,526
488,527
493,522
502,520
504,519
509,517
510,514
515,514
516,515
510,516
504,515
504,515
501,513
500,513
495,510
492,509
491,509
490,509
490,510
487,509
489,509
489,509
488,507
486,506
486,507
487,506
486,507
483,511
482,513
482,520
477,520
476,522
476,524
478,527
478,528
478,529
477,528
477,525
478,523
478,523
478,519
478,518
479,516
480,515
483,515
483,515
483,516
482,517
485,517
486,518
485,517
483,514
483,514
480,512
480,510
479,511
478,511
478,512
478,516
479,517
478,516
477,516
477,516
477,517
477,517
481,520
481,518
480,517
479,517
476,510
476,511
477,512
476,514
475,514
473,513
473,514
472,514
474,517
473,517
472,517
471,517
472,518
472,519
474,521
476,524
476,527
476,528
479,528
479,527
479,528
479,530
479,530
479,527
479,526
480,527
479,529
478,531
479,532
479,532
481,534
481,534
480,533
481,533
482,533
483,533
485,534
485,535
485,533
484,531
483,531
481,530
482,530
481,530
479,529
479,531
477,535
478,536
479,540
480,541
482,544
484,544
484,543
484,545
484,546
483,549
483,549
485,552
485,551
485,552
482,551
479,548
479,547
479,547
480,546
480,543
480,543
480,542
479,542
478,537
479,537
480,538
482,539
972,329
973,332
975,327
974,322
971,304
973,299
975,297
976,288
974,289
972,288
975,286
977,285
980,285
983,282
983,281
984,280
986,279
987,280
988,280
991,278
991,272
993,271
995,270
995,269
993,264
986,259
982,258
979,260
977,261
974,267
973,270
972,273
972,274
975,278
979,280
982,278
984,276
985,276
985,275
985,272
985,265
984,264
983,264
983,266
985,272
985,276
985,279
982,281
983,281
983,280
983,281
982,282
983,281
983,281
983,283
982,283
979,281
979,277
979,276
979,273
981,272
981,273
980,275
979,275
980,277
980,277
978,275
977,274
977,275
974,275
973,275
972,277
973,276
974,277
975,278
976,281
973,277
974,277
976,280
978,279
980,280
981,280
982,280
982,281
980,279
979,273
978,271
980,272
980,275
979,277
977,276
978,278
980,280
981,280
983,279
983,279
984,279
985,281
985,281
987,282
986,280
985,280
983,279
983,279
981,275
983,273
984,273
988,272
989,268
991,268
992,272
992,274
994,276
995,276
994,274
995,274
995,273
992,276
992,276
993,279
993,280
993,279
992,277
993,275
992,275
992,275
992,275
991,275
992,274
994,273
993,273
993,273
990,277
990,278
991,278
991,277
991,276
990,276
990,276
990,277
990,280
989,280
989,280
988,279
989,278
989,278
990,280
991,281
990,283
990,284
1476,556
1477,555
1476,549
1474,545
1474,542
1474,541
1474,539
1474,536
1474,535
1474,533
1473,531
1474,529
1472,527
1472,527
1472,529
1472,528
1474,528
1476,527
1476,526
1478,521
1478,522
1478,520
1480,522
1482,519
1482,520
1481,519
1481,516
1482,515
1484,512
1485,510
1486,510
1486,512
1485,512
1483,516
1481,517
1480,520
1479,519
1479,518
1478,521
1477,521
1477,520
1476,520
1475,520
1475,519
1476,518
1478,518
1476,515
1473,513
1474,511
1474,512
1475,513
1473,519
1474,522
1474,522
1475,523
1476,523
1476,525
1477,525
1477,525
1477,522
1477,520
1476,520
1477,519
1477,518
1478,514
1477,514
1476,515
1476,516
1477,516
1480,513
1481,512
1484,512
1486,513
1486,513
1483,509
1482,511
1481,515
1480,515
1482,516
1482,517
1482,518
1482,519
1482,519
1483,523
1484,524
1484,525
1483,525
1479,525
1481,523
1481,523
1480,522
1481,521
1479,521
1479,520
1479,520
1479,520
1478,521
1478,522
1477,520
1477,520
1477,520
1478,521
1479,522
1480,521
1479,521
1478,521
1479,521
1479,522
1478,522
1478,522
1477,525
1476,526
1476,526
1477,527
1477,528
1481,532
1481,531
1483,528
1485,527
1486,525
1488,521
1488,520
1488,526
1487,526
1484,528
1481,533
1480,534
1477,534
1476,534
1477,533
1479,532
1477,534
1479,536
1480,536
1481,533
1482,534
1481,537
1481,536
1482,535
1481,534
1481,535
1481,535
1480,532
1480,531
1483,530
1484,530
1484,530
1485,531
1484,532
1482,533
984,811
983,813
977,820
975,818
976,813
979,809
977,803
975,803
977,804
978,803
983,800
984,800
982,804
981,804
976,803
970,804
968,804
968,809
967,812
968,811
970,813
972,815
973,818
973,823
978,823
980,807
979,807
974,808
974,808
977,807
977,808
977,808
980,807
984,808
980,811
984,808
986,811
980,819
978,818
977,818
976,818
972,822
969,819
970,802
964,816
963,816
963,816
966,817
969,817
968,817
968,817
966,816
965,814
967,815
967,807
967,811
966,823
968,829
969,827
974,820
975,819
975,819
976,819
977,817
977,815
976,814
978,817
976,813
978,812
981,811
981,810
982,813
980,815
978,816
977,815
977,819
978,821
978,820
977,818
977,819
978,824
987,827
987,825
990,819
991,816
988,816
985,817
977,814
975,813
976,806
975,801
975,801
974,804
973,806
972,815
973,814
974,812
973,812
972,814
972,816
972,816
974,811
977,814
975,821
974,822
974,818
974,826
977,825
979,824
978,826
978,825
977,822
976,820
976,818
976,822
978,822
981,821
983,822
979,829
983,820
984,818
986,810
986,808
988,803
991,803
991,803
991,799
988,795
986,795
983,795
983,796
985,797
985,797
985,796
985,796
984,798
984,799
986,800
987,802
986,805
987,812
986,811
986,809
984,809
983,807
983,806
983,806
985,808
986,807
987,807
