x,y
101,77
100,77
101,76
101,75
101,76
101,76
100,76
99,76
100,76
99,77
99,79
99,79
99,79
99,79
98,80
98,80
98,80
99,80
99,80
99,80
99,80
100,80
100,81
101,81
102,82
102,82
101,82
101,82
101,81
101,81
101,81
101,81
102,81
103,81
103,81
104,82
104,83
104,83
104,83
104,83
104,83
104,83
105,84
103,84
102,84
105,84
110,83
117,81
121,80
124,79
122,79
121,79
117,79
116,79
115,79
115,79
114,79
114,78
113,77
113,76
112,75
111,75
111,76
110,77
110,77
109,77
109,77
109,77
109,77
108,77
107,78
107,78
107,78
107,78
107,78
108,78
108,78
108,78
108,78
108,79
107,79
107,79
107,79
107,79
108,79
108,78
108,78
108,78
108,78
108,79
108,79
108,80
108,81
107,81
108,82
108,82
109,83
108,83
109,83
109,84
109,84
108,84
108,84
107,83
108,84
108,84
108,85
108,85
108,85
109,86
109,86
109,86
109,87
109,87
109,87
109,88
109,89
108,89
108,89
108,89
108,89
108,88
109,88
110,87
110,87
110,87
111,87
111,88
112,88
112,88
111,88
111,88
111,88
111,88
111,88
111,87
111,87
110,87
111,87
111,88
111,89
111,89
110,91
110,91
111,91
111,91
111,92
111,92
111,93
111,93
99,1023
98,1022
99,1021
100,1021
100,1020
100,1019
101,1018
102,1018
102,1018
102,1017
102,1018
103,1018
103,1018
103,1018
103,1020
103,1021
102,1022
101,1023
101,1024
101,1024
102,1025
102,1026
103,1027
103,1028
103,1028
104,1027
104,1026
104,1026
104,1026
104,1027
104,1027
104,1026
104,1026
104,1027
104,1026
103,1026
101,1026
100,1025
97,1023
96,1021
95,1020
95,1019
95,1018
95,1018
94,1018
94,1018
94,1019
94,1019
94,1019
94,1019
94,1019
94,1019
94,1020
94,1020
94,1020
94,1020
94,1020
94,1020
95,1020
97,1020
97,1020
98,1020
98,1021
99,1021
99,1020
98,1020
98,1021
98,1022
98,1022
99,1022
100,1022
101,1023
101,1023
101,1023
102,1024
102,1023
102,1023
101,1022
101,1022
101,1021
101,1020
101,1019
102,1018
103,1018
103,1019
103,1019
102,1018
103,1016
102,1016
103,1015
104,1015
104,1016
104,1017
103,1018
103,1019
103,1019
102,1020
103,1019
103,1019
104,1020
104,1020
104,1019
104,1018
104,1018
104,1019
104,1019
104,1020
104,1020
104,1020
104,1021
104,1021
103,1021
103,1020
103,1019
103,1019
103,1019
103,1018
102,1018
102,1018
101,1018
101,1018
101,1019
100,1021
101,1021
102,1022
102,1022
102,1023
100,1023
99,1024
99,1024
98,1025
97,1026
98,1028
97,1029
98,1031
99,1032
101,1032
103,1031
103,1030
102,1028
102,1028
101,1028
102,1029
102,1029
102,1029
102,1029
100,1031
101,1032
101,1031
101,1031
1792,96
1794,94
1796,93
1796,92
1798,91
1799,91
1800,90
1797,89
1797,88
1798,86
1798,86
1799,84
1799,82
1799,81
1800,80
1801,79
1801,78
1801,77
1802,76
1802,76
1803,75
1803,75
1803,75
1803,73
1805,71
1805,71
1805,69
1806,67
1806,67
1808,66
1809,66
1810,65
1810,65
1810,65
1811,65
1811,65
1810,64
1811,64
1812,64
1812,64
1813,64
1813,65
1814,65
1814,65
1813,65
1813,65
1814,66
1814,65
1814,65
1814,66
1814,66
1814,67
1814,67
1814,67
1813,67
1813,66
1813,66
1813,66
1813,66
1813,66
1813,66
1813,67
1813,67
1812,67
1810,66
1810,66
1810,66
1809,65
1809,65
1809,65
1809,65
1809,64
1810,63
1810,63
1810,62
1809,62
1809,63
1809,63
1809,63
1808,63
1807,63
1807,63
1807,63
1808,63
1808,64
1808,64
1807,64
1808,64
1808,64
1808,64
1808,64
1809,64
1809,64
1809,64
1810,63
1810,63
1810,63
1810,63
1810,63
1809,63
1809,63
1808,64
1808,65
1807,65
1807,65
1807,65
1806,65
1806,64
1806,64
1806,64
1807,64
1807,65
1807,66
1807,67
1808,67
1808,67
1809,67
1809,66
1809,66
1809,67
1809,67
1809,67
1809,66
1809,66
1809,66
1809,65
1808,66
1808,67
1807,67
1807,68
1807,68
1806,68
1805,68
1805,69
1805,70
1806,70
1806,71
1806,70
1806,70
1806,70
1806,70
1807,68
1808,67
1808,67
1809,65
1809,64
1810,64
1810,63
1811,62
1811,62
1836,1013
1836,1013
1835,1012
1835,1012
1834,1012
1834,1012
1832,1012
1832,1012
1831,1012
1830,1012
1830,1012
1829,1013
1829,1013
1829,1012
1829,1010
1829,1010
1829,1007
1829,1004
1829,1004
1829,1003
1830,1003
1829,1002
1829,1003
1828,1005
1828,1006
1827,1007
1825,1008
1824,1007
1823,1007
1822,1008
1822,1008
1822,1007
1821,1006
1821,1005
1821,1005
1821,1006
1819,1008
1818,1010
1818,1011
1817,1012
1817,1013
1817,1014
1817,1013
1816,1012
1816,1013
1816,1013
1816,1015
1817,1014
1816,1014
1816,1014
1817,1014
1817,1013
1817,1011
1816,1011
1816,1010
1816,1009
1814,1009
1814,1008
1814,1008
1813,1007
1812,1008
1812,1008
1812,1008
1811,1009
1812,1010
1813,1011
1814,1011
1814,1011
1815,1011
1815,1014
1815,1014
1815,1015
1814,1016
1814,1017
1813,1018
1812,1019
1812,1019
1813,1020
1814,1020
1814,1020
1814,1020
1815,1021
1815,1022
1815,1022
1813,1022
1814,1022
1813,1022
1812,1022
1812,1021
1813,1021
1813,1021
1812,1021
1812,1021
1812,1021
1812,1020
1812,1020
1811,1020
1812,1020
1812,1020
1812,1020
1812,1020
1812,1020
1812,1020
1811,1020
1812,1021
1812,1021
1813,1021
1814,1022
1813,1021
1813,1020
1813,1019
1812,1018
1811,1018
1811,1018
1811,1019
1811,1019
1811,1018
1811,1018
1810,1019
1809,1020
1808,1020
1810,1019
1809,1019
1809,1019
1808,1020
1808,1020
1809,1020
1809,1020
1809,1019
1809,1018
1809,1018
1809,1018
1809,1016
1809,1016
1810,1015
1811,1015
1811,1015
1811,1015
1811,1015
1812,1016
1813,1017
1814,1019
1818,1020
1819,1021
1820,1022
1821,1023
1822,1023
1821,1024
1821,1024
1822,1024
961,518
961,518
961,517
961,518
961,518
961,519
961,519
961,520
960,520
960,519
959,519
959,519
958,518
958,518
959,516
960,514
960,513
959,512
959,512
959,512
960,511
960,510
961,510
962,510
962,512
961,512
960,513
960,512
960,513
960,513
960,514
960,513
960,514
960,514
958,515
958,515
959,514
959,514
959,514
959,515
959,515
958,516
958,516
957,517
956,518
956,519
955,519
956,518
956,518
955,518
955,517
957,517
957,518
958,518
958,518
958,519
959,518
959,518
959,517
960,516
959,516
959,516
958,517
959,516
960,516
960,517
960,518
960,518
960,518
960,518
961,519
961,519
960,519
960,520
960,520
959,521
959,521
959,522
959,523
959,522
960,522
960,522
961,522
961,523
961,523
962,523
962,523
961,524
960,524
959,525
960,527
959,527
959,526
959,525
959,523
959,523
959,524
959,525
959,525
959,525
959,524
958,524
958,523
959,523
959,522
959,522
959,521
958,520
957,520
957,521
957,521
958,522
958,523
960,523
961,523
962,522
963,522
963,522
962,522
960,523
960,523
960,524
960,524
961,526
960,527
959,527
959,528
960,528
960,529
959,529
958,529
956,530
956,530
957,531
957,531
958,533
957,534
957,534
958,535
957,534
957,534
957,534
957,534
957,535
958,536
958,537
958,537
958,538
958,538
957,538
486,540
486,540
487,539
487,539
488,539
489,539
489,539
489,540
489,540
489,541
489,542
489,543
489,544
490,545
490,546
490,546
490,545
490,543
490,542
490,540
491,539
490,539
491,539
491,539
490,538
490,538
491,539
491,539
492,539
492,539
492,539
492,540
492,540
491,540
491,541
491,542
491,542
490,541
490,541
490,539
490,539
490,539
489,539
489,539
487,538
487,539
486,540
487,540
486,541
487,541
487,541
486,541
486,540
486,540
486,539
486,539
486,538
489,537
489,537
490,538
491,539
491,539
491,540
491,540
492,540
492,540
493,541
492,542
492,543
492,542
493,542
493,541
491,541
490,541
492,542
499,542
501,542
504,543
505,544
501,545
496,547
495,548
493,548
492,547
491,547
491,546
490,546
489,546
489,546
490,546
489,546
490,545
489,545
489,545
489,546
489,547
489,547
488,547
488,546
488,547
488,547
488,547
487,549
488,551
488,551
489,551
488,549
488,549
488,549
488,548
488,547
488,547
487,546
487,545
487,545
487,545
488,545
488,545
489,544
489,543
488,541
487,541
487,541
486,540
486,540
486,539
486,540
486,539
486,539
485,539
485,539
484,539
484,540
484,539
484,539
484,539
483,538
482,538
482,538
481,538
480,537
481,537
481,537
481,536
480,536
480,535
480,535
480,535
480,535
480,535
960,275
960,274
961,274
960,274
960,275
960,275
960,275
961,275
961,275
961,276
960,276
960,276
960,275
959,275
961,274
961,274
960,273
960,273
959,273
959,273
959,273
959,273
960,274
960,274
959,273
959,273
960,272
961,272
961,272
961,272
960,273
959,273
959,273
958,273
957,272
958,272
958,272
958,272
958,271
958,271
958,271
958,271
959,271
960,271
961,271
961,271
962,272
962,272
962,272
962,272
960,272
960,273
961,273
961,273
961,273
961,273
961,273
961,273
961,272
961,271
960,271
960,270
960,270
960,270
960,270
960,271
960,271
960,270
960,271
960,272
960,273
960,273
960,273
960,273
960,274
960,274
961,274
962,275
962,275
961,276
962,277
962,277
962,277
962,276
961,276
961,277
960,276
959,275
959,274
958,273
958,272
958,272
958,271
959,270
959,270
959,269
959,268
959,268
959,268
960,268
960,268
960,268
961,268
961,268
960,268
960,267
960,267
960,266
959,266
959,266
958,267
958,267
958,268
958,269
958,269
958,271
959,271
959,271
959,272
959,272
959,272
960,272
960,271
960,271
960,271
960,271
959,271
959,270
959,270
958,270
958,270
957,270
958,271
958,271
958,271
957,272
958,272
958,272
958,272
957,272
956,272
956,272
957,272
959,272
959,272
958,272
957,273
957,273
957,273
957,273
1428,542
1428,541
1428,541
1429,540
1429,538
1429,537
1428,536
1428,536
1428,536
1428,535
1428,535
1428,535
1428,535
1427,534
1427,534
1428,535
1429,534
1429,534
1430,534
1431,534
1431,535
1432,535
1431,535
1431,535
1431,535
1431,536
1431,535
1432,535
1431,535
1431,535
1431,536
1431,536
1431,537
1431,537
1430,537
1430,537
1430,538
1429,539
1428,539
1428,539
1428,538
1428,539
1429,538
1430,538
1430,537
1431,537
1431,536
1431,535
1432,535
1432,535
1432,535
1431,534
1430,534
1430,534
1431,534
1432,535
1432,535
1433,535
1432,535
1432,535
1433,535
1433,535
1433,534
1433,533
1433,533
1433,533
1433,533
1433,531
1433,531
1434,532
1434,531
1434,532
1434,532
1434,533
1434,534
1433,534
1432,533
1432,533
1432,534
1433,535
1433,535
1433,536
1433,536
1433,536
1433,536
1433,536
1432,535
1432,535
1432,535
1432,535
1433,534
1433,534
1433,534
1434,534
1434,534
1434,534
1434,534
1435,534
1434,534
1434,534
1434,534
1435,534
1434,533
1433,532
1432,532
1432,532
1432,532
1433,532
1434,532
1434,532
1433,532
1433,532
1433,533
1433,532
1432,532
1432,532
1430,533
1430,534
1430,534
1429,533
1428,533
1428,533
1428,533
1429,533
1430,534
1430,534
1429,535
1428,535
1428,535
1428,536
1428,536
1429,536
1430,537
1431,537
1431,536
1431,536
1431,537
1431,537
1432,536
1433,536
1434,535
1433,535
1433,535
1433,535
1433,535
1433,535
1433,535
1432,535
1432,535
1431,535
952,794
951,794
951,793
952,793
952,793
952,794
954,793
954,793
953,793
952,793
952,793
951,793
951,793
951,792
950,792
951,791
951,791
951,792
952,792
953,792
952,793
951,792
951,793
952,794
952,794
953,795
953,796
954,795
954,793
954,792
952,790
952,790
952,788
951,790
951,789
951,789
951,791
952,791
952,791
951,792
951,791
951,791
950,790
950,790
952,790
952,791
954,791
954,792
954,792
955,792
955,792
956,791
956,790
956,790
957,791
957,790
957,792
957,794
956,795
956,795
955,795
955,795
955,794
955,794
954,795
955,796
956,796
957,797
957,797
957,796
957,796
957,797
956,798
955,798
954,798
955,798
955,799
956,799
956,799
955,799
955,800
956,800
957,800
957,800
958,799
958,799
958,798
958,799
957,799
957,798
957,798
959,799
960,800
960,800
959,800
959,800
959,801
959,800
958,800
957,800
956,800
955,800
956,801
956,802
957,802
957,803
956,802
955,802
955,801
955,800
956,799
956,799
956,799
956,799
956,799
956,798
957,798
956,797
956,798
956,798
955,798
956,799
956,799
957,799
957,799
