x,y
125,119
126,120
127,121
127,121
128,121
128,122
129,122
130,122
130,121
130,121
130,120
129,120
129,119
130,118
129,118
129,117
129,117
128,115
128,114
128,113
127,112
127,112
127,112
127,113
127,113
127,113
127,113
126,113
126,113
125,111
125,110
124,110
124,109
124,109
124,110
124,110
123,111
123,111
123,111
124,111
124,110
124,111
124,111
125,111
125,112
126,112
125,111
125,111
125,111
125,111
126,112
126,113
126,113
126,113
126,114
126,114
126,114
127,115
127,114
127,114
127,114
127,113
126,112
125,111
125,111
124,111
124,110
123,109
122,108
121,108
121,108
121,108
120,108
120,109
121,109
122,109
123,109
123,109
122,109
122,110
121,110
121,110
121,110
120,110
120,110
120,109
119,109
119,109
119,109
119,108
119,107
118,107
117,107
117,107
117,107
116,107
115,107
115,107
115,108
115,108
114,109
114,110
114,110
114,111
113,111
113,111
114,111
114,111
115,111
114,112
114,112
114,111
113,112
113,113
113,113
114,113
114,113
114,113
114,113
114,114
114,114
113,114
113,114
113,114
113,115
113,115
113,115
113,115
114,116
113,116
113,116
114,115
114,115
114,115
113,115
113,115
113,115
112,115
112,115
113,116
113,116
113,116
114,116
116,114
117,114
118,112
119,111
119,111
119,110
118,109
88,1038
88,1037
88,1037
88,1040
89,1041
89,1041
89,1039
89,1039
89,1040
90,1041
90,1041
90,1041
90,1040
90,1040
93,1039
94,1038
94,1037
94,1037
93,1036
93,1036
93,1036
94,1036
95,1036
95,1035
96,1035
96,1035
98,1035
99,1035
99,1035
100,1036
101,1036
101,1035
100,1035
100,1034
100,1034
100,1034
99,1034
99,1034
98,1034
97,1035
96,1035
96,1034
96,1034
96,1035
97,1036
96,1036
97,1036
97,1036
97,1037
97,1037
97,1036
98,1036
99,1037
100,1037
100,1037
101,1037
101,1037
101,1039
102,1039
102,1040
101,1041
101,1041
102,1040
102,1040
102,1042
102,1042
102,1043
102,1043
102,1043
102,1044
102,1043
101,1043
101,1044
101,1044
101,1044
101,1044
102,1043
101,1044
101,1044
101,1045
101,1046
101,1046
101,1046
101,1046
101,1046
102,1044
102,1043
102,1042
103,1041
103,1040
103,1040
103,1040
103,1039
101,1038
101,1038
101,1038
101,1038
101,1038
100,1037
100,1037
102,1037
103,1037
103,1037
103,1036
102,1036
103,1037
103,1038
103,1038
102,1038
101,1037
101,1037
100,1037
100,1037
100,1037
100,1037
100,1038
100,1038
100,1038
101,1038
102,1039
102,1039
102,1038
103,1039
103,1039
102,1039
101,1040
100,1040
100,1039
100,1039
99,1040
99,1040
99,1040
99,1040
100,1040
100,1041
99,1042
100,1042
100,1042
99,1043
99,1044
99,1043
99,1043
98,1043
98,1044
98,1044
98,1044
97,1043
97,1044
97,1044
97,1044
1793,108
1794,106
1796,102
1798,96
1802,90
1803,87
1804,83
1811,75
1813,73
1819,66
1822,63
1825,60
1828,56
1830,54
1831,52
1832,52
1836,50
1836,49
1836,49
1836,46
1836,46
1837,45
1838,44
1839,42
1840,42
1841,41
1844,37
1848,34
1848,33
1847,32
1846,32
1841,32
1839,31
1838,31
1837,30
1836,31
1835,31
1835,31
1836,29
1837,29
1836,29
1835,29
1835,29
1837,29
1837,29
1839,27
1838,28
1837,29
1837,29
1838,28
1837,29
1838,29
1839,29
1839,29
1841,29
1843,28
1844,29
1844,30
1845,29
1846,28
1848,27
1848,27
1849,27
1849,26
1849,26
1847,26
1847,25
1846,24
1845,23
1845,23
1844,23
1843,23
1844,23
1844,23
1844,24
1843,24
1842,24
1841,25
1842,24
1843,24
1844,23
1844,23
1842,24
1843,24
1843,24
1841,25
1841,24
1841,24
1842,23
1842,23
1840,24
1839,26
1839,27
1840,26
1841,26
1841,26
1841,26
1840,26
1838,26
1838,26
1839,26
1840,27
1841,27
1842,28
1842,28
1844,29
1847,27
1851,26
1851,26
1851,27
1851,26
1853,26
1854,26
1852,27
1850,27
1850,27
1850,26
1851,25
1851,25
1850,25
1848,25
1847,25
1848,24
1847,24
1847,24
1850,22
1848,23
1847,23
1847,24
1846,24
1847,24
1848,24
1848,24
1844,24
1841,23
1839,23
1837,24
1837,24
1835,25
1835,25
1835,25
1834,25
1835,23
1838,21
1837,21
1837,21
1839,20
1840,20
1840,20
1839,20
1833,1043
1833,1042
1833,1041
1833,1041
1833,1040
1834,1039
1833,1039
1832,1037
1832,1036
1832,1036
1832,1036
1832,1036
1832,1036
1832,1036
1832,1035
1832,1035
1832,1034
1831,1034
1832,1035
1832,1036
1832,1036
1832,1035
1832,1035
1832,1035
1832,1035
1832,1034
1832,1034
1832,1035
1831,1034
1830,1034
1830,1034
1831,1035
1831,1035
1831,1035
1831,1034
1829,1032
1829,1030
1828,1029
1827,1027
1826,1026
1825,1025
1825,1025
1825,1026
1825,1026
1825,1027
1825,1027
1824,1027
1823,1026
1823,1026
1824,1028
