x,y
130,35
137,27
141,28
146,30
140,42
146,46
175,40
186,38
135,19
117,26
113,29
105,36
131,44
135,44
135,45
127,43
121,47
128,61
145,47
143,52
131,48
133,43
127,34
144,39
150,39
167,27
164,20
155,23
134,32
127,33
118,47
130,52
166,38
180,33
160,45
140,49
133,49
119,53
133,60
138,58
141,41
148,37
141,43
132,47
134,48
127,42
118,36
122,43
108,48
98,50
93,51
84,49
79,43
77,42
88,42
105,44
107,42
119,43
120,45
114,43
112,42
106,42
101,41
88,37
85,38
82,40
82,42
82,41
92,34
91,34
93,31
103,23
106,22
96,24
94,26
95,25
101,27
98,33
94,34
92,35
90,35
92,29
92,28
105,39
103,38
97,39
94,40
92,40
96,34
100,31
99,33
97,32
105,35
101,37
99,38
103,39
109,40
112,43
122,42
124,49
116,49
110,48
112,44
115,43
115,40
129,34
148,34
146,36
153,39
142,31
137,27
121,27
116,28
115,26
117,23
121,15
147,36
110,17
109,20
107,24
100,27
100,28
102,27
102,25
102,29
100,32
96,34
94,34
98,33
102,31
98,28
98,32
98,31
92,36
87,39
87,38
90,31
85,29
92,31
94,34
92,34
93,35
93,34
95,34
95,34
98,29
112,22
139,40
100,24
103,23
66,1026
67,1026
67,1026
67,1027
68,1027
68,1027
69,1028
70,1028
71,1028
71,1029
70,1029
70,1028
70,1027
70,1027
73,1025
74,1025
74,1027
73,1026
92,1052
70,1024
71,1027
72,1027
72,1027
71,1028
71,1029
71,1029
74,1034
74,1033
77,1032
79,1033
80,1033
81,1033
82,1033
82,1032
83,1032
83,1032
83,1032
83,1032
85,1032
85,1031
86,1029
86,1027
87,1024
88,1026
88,1027
89,1023
83,1001
85,1009
88,1016
89,1020
89,1022
89,1024
89,1025
92,1026
92,1029
94,1032
95,1031
96,1031
97,1031
99,1032
101,1032
99,1029
100,1031
102,1032
105,1033
106,1033
107,1034
108,1035
109,1035
111,1035
111,1035
112,1035
112,1035
113,1035
114,1035
113,1035
113,1032
113,1031
112,1032
111,1031
110,1031
108,1030
106,1030
106,1031
104,1032
104,1033
102,1033
104,1031
103,1031
101,1033
100,1033
100,1032
100,1031
99,1033
98,1033
97,1033
96,1034
96,1035
96,1037
96,1038
96,1038
95,1039
94,1039
96,1039
95,1040
93,1041
91,1040
92,1039
91,1038
91,1038
90,1039
92,1037
92,1037
91,1038
91,1037
92,1016
90,1023
89,1028
89,1031
89,1032
90,1034
90,1034
88,1037
88,1037
89,1039
88,1040
89,1040
90,1041
90,1042
91,1041
90,1042
92,1042
95,1041
98,1041
98,1040
98,1039
97,1038
96,1037
96,1037
96,1037
96,1037
96,1037
96,1038
96,1038
97,1040
97,1040
97,1041
98,1041
98,1042
101,1042
1755,168
1756,174
1755,181
1759,173
1757,166
1753,170
1746,177
1751,169
1751,167
1742,141
1739,130
1748,135
1750,137
1742,141
1737,157
1743,170
1729,142
1731,138
1734,124
1735,113
1736,115
1736,116
1736,115
1739,122
1739,118
1742,118
1747,129
1749,132
1750,126
1749,118
1752,119
1756,128
1754,117
1752,105
1753,111
1755,131
1769,124
1772,122
1770,131
1766,145
1762,141
1769,148
1770,147
1766,139
1772,150
1778,154
1784,147
1787,144
1785,148
1783,140
1760,109
1727,82
1742,93
1748,98
1748,95
1755,104
1761,121
1758,137
1755,178
1760,192
1773,176
1770,157
1761,147
1761,159
1759,165
1771,174
1773,166
1776,167
1779,165
1778,161
1766,136
1760,114
1759,95
1778,49
1798,43
1805,49
1794,50
1798,68
1796,69
1798,73
1801,81
1802,83
1801,90
1800,93
1798,100
1794,103
1794,106
1783,117
1793,130
1791,130
1787,139
1786,130
1787,137
1788,142
1776,139
1751,119
1759,128
1765,127
1769,133
1774,143
1775,146
1775,159
1774,163
1784,163
1786,147
1787,144
1790,142
1793,137
1791,134
1791,135
1791,138
1790,142
1799,133
1801,110
1811,87
1810,84
1806,80
1806,78
1793,66
1796,68
1798,70
1799,76
1798,77
1792,71
1797,75
1794,74
1791,76
1791,77
1792,81
1788,77
1789,79
1790,83
1789,82
1791,84
1796,88
1795,87
1789,85
1791,91
1795,100
1799,107
1799,122
1804,125
1803,117
1801,108
1800,105
1777,85
1772,81
1778,98
1777,118
1790,125
1861,1045
1863,1044
1864,1044
1865,1037
1870,1039
1869,1039
1868,1040
1867,1040
1869,1042
1868,1042
1866,1040
1866,1040
1867,1039
1869,1038
1871,1038
1871,1038
1871,1038
1851,824
1863,919
1868,954
1868,970
1869,979
1868,989
1863,1000
1861,998
1840,863
1840,863
1854,948
1852,973
1853,982
1860,1006
1866,1020
1871,1025
1874,1028
1877,1030
1869,1028
1869,1032
1870,1035
1870,1036
1872,1036
1872,1037
1872,1038
1873,1039
1874,1040
1870,1039
1868,1040
1862,1040
1859,1041
1858,1040
1857,1039
1857,1039
1855,1041
1856,1042
1859,1043
1845,885
1845,885
1854,959
1800,896
1823,953
1832,975
1837,985
1846,1003
1849,1008
1856,1026
1860,1035
1864,1042
1867,1048
1869,1049
1866,1052
1864,1049
1862,1046
1840,1002
1852,1019
1858,1025
1861,1028
1863,1031
1867,1034
1868,1036
1872,1043
1875,1048
1876,1049
1879,1051
1880,1052
1882,1054
1848,887
1810,702
1845,851
1855,896
1860,928
1871,984
1875,999
1876,1025
1875,1035
1877,1038
1879,1040
1879,1043
1882,1047
1882,1047
1882,1047
1879,1049
1875,1048
1874,1051
1874,1053
1874,1053
1877,1053
1877,1054
1877,1055
1878,1054
1879,1052
1879,1052
1879,1050
1879,1050
1880,1050
1878,1048
1877,1048
1876,1048
1876,1049
1876,1046
1878,1046
1879,1048
1880,1050
1881,1049
1880,1045
1879,1037
1879,1038
1879,1033
1848,887
1848,887
1857,977
1863,992
1867,1001
1870,1013
1873,1027
1876,1041
1877,1043
1880,1047
1881,1048
1880,1052
1880,1053
1881,1055
1880,1055
1880,1055
1880,1055
1881,1055
1881,1054
1881,1055
1880,1057
1882,1057
1885,1056
1885,1056
980,534
981,535
982,534
982,533
985,533
985,531
984,531
984,531
983,532
983,531
983,530
982,526
983,524
984,524
985,523
985,522
984,522
980,520
979,520
977,519
975,520
975,520
975,521
974,521
974,521
972,520
970,521
970,521
969,522
969,523
970,522
970,522
970,521
970,520
970,522
969,523
968,523
967,524
967,525
967,527
967,526
968,526
967,527
968,528
969,529
967,528
967,527
967,526
967,525
968,528
968,528
967,528
967,528
967,528
967,528
966,528
966,527
965,530
965,530
965,529
965,529
966,528
966,529
966,532
966,532
966,531
966,530
966,530
965,528
964,527
964,528
964,528
964,527
964,524
965,522
966,522
967,522
967,522
967,521
968,521
970,522
972,524
971,525
971,527
972,527
973,528
974,528
975,528
975,528
974,527
973,526
972,527
972,527
972,529
972,531
973,532
972,533
974,537
974,539
974,539
975,539
976,539
977,538
978,537
979,536
979,536
980,538
982,539
983,539
982,540
983,540
983,540
983,539
983,540
983,542
984,542
985,544
986,544
987,548
987,550
987,549
990,551
990,555
992,559
993,560
994,562
994,563
993,562
991,561
991,561
990,563
990,564
990,564
991,568
989,568
987,569
986,568
984,570
981,566
980,566
979,566
979,567
977,565
976,564
974,563
973,563
975,567
975,568
975,568
973,567
505,535
497,537
494,540
493,541
488,548
487,542
485,549
485,552
484,549
483,545
487,542
488,543
486,546
485,548
485,549
489,543
483,550
481,550
481,549
482,548
483,548
482,547
482,547
482,546
482,544
481,544
481,545
482,545
484,544
485,544
485,544
483,541
488,532
484,537
484,538
484,540
485,538
490,533
491,532
486,534
484,534
487,529
483,533
481,533
478,535
478,537
477,537
479,532
479,532
478,533
478,532
477,533
485,524
492,518
488,525
485,526
482,529
479,535
476,542
475,543
475,545
475,545
475,546
475,547
475,546
472,547
472,547
473,546
474,546
472,549
473,549
474,549
474,550
477,561
476,556
475,554
475,553
475,550
481,545
489,536
487,537
485,539
481,543
481,544
480,544
478,544
476,544
475,545
474,545
474,546
474,546
475,544
479,540
482,538
482,539
481,539
479,540
476,541
476,541
476,540
475,541
475,541
480,539
480,538
480,537
480,538
482,537
481,537
480,537
480,538
478,539
477,540
475,541
475,541
477,543
478,542
478,541
482,540
481,540
479,541
479,540
480,539
479,541
477,543
477,544
477,544
479,543
480,542
479,543
478,543
476,545
486,538
476,546
477,548
478,548
487,549
493,548
490,548
497,538
492,540
490,541
489,541
488,543
487,544
486,545
484,547
484,547
483,547
482,549
481,550
959,286
958,285
958,285
958,285
958,284
957,284
957,283
957,284
958,284
959,283
960,282
960,281
959,280
959,280
958,280
959,279
959,279
958,279
958,279
958,279
958,279
957,279
956,279
956,279
957,279
957,279
956,278
955,278
954,278
953,278
952,277
951,277
952,276
952,276
952,276
953,275
953,275
954,275
954,275
953,274
953,273
952,274
952,273
952,273
951,273
952,271
952,271
954,270
954,270
954,268
954,267
954,266
953,264
953,263
952,260
952,260
953,261
953,261
953,262
954,262
954,262
953,263
952,263
952,263
951,263
952,264
953,264
953,265
952,265
952,265
952,264
953,265
953,264
954,264
954,264
955,264
954,263
955,263
955,263
954,264
954,264
955,264
954,264
954,265
954,264
954,265
954,265
955,265
955,264
956,264
955,264
955,263
954,263
954,262
954,263
954,263
953,263
951,263
951,263
952,264
952,266
952,267
952,267
952,267
950,268
949,267
949,267
950,266
950,265
950,265
951,265
951,266
951,266
951,267
950,267
950,268
950,268
950,269
949,269
949,270
948,270
948,270
948,272
948,272
948,272
949,273
949,273
949,274
949,275
948,276
947,276
947,277
947,277
947,278
946,278
946,279
945,280
945,280
944,281
943,281
943,281
943,282
944,282
945,282
945,283
946,283
946,284
946,286
946,287
946,286
1438,536
1436,535
1451,544
1413,520
1419,524
1423,527
1427,529
1431,534
1432,535
1433,539
1435,539
1435,539
1437,541
1437,542
1438,542
1437,541
1436,539
1436,537
1435,536
1395,519
1381,518
1384,524
1390,526
1401,530
1408,531
1381,482
1380,467
1390,478
1403,496
1406,501
1410,517
1418,527
1418,530
1407,534
1411,536
1422,538
1422,541
1422,544
1418,542
1432,553
1378,520
1393,527
1401,532
1403,534
1409,537
1413,539
1415,540
1420,543
1422,543
1401,522
1385,513
1391,516
1401,521
1404,521
1412,524
1410,526
1411,526
1416,527
1416,527
1398,517
1405,521
1406,522
1411,524
1417,526
1419,527
1425,530
1427,532
1426,532
1425,533
1425,533
1425,534
1424,535
1425,536
1426,539
1426,541
1424,545
1424,545
1423,544
1425,543
1425,542
1427,541
1428,539
1428,540
1429,540
1428,540
1428,539
1428,540
1427,540
1427,540
1428,542
1429,542
1430,542
1431,541
1431,541
1431,540
1431,540
1431,540
1431,541
1431,541
1430,542
1430,541
1423,532
1430,541
1431,542
1432,542
1432,542
1432,543
1433,542
1433,542
1434,542
1433,541
1443,548
1422,539
1424,540
1424,542
1424,542
1409,534
1297,412
1297,412
1371,489
1377,495
1391,510
1407,524
1410,527
1415,533
1418,538
1420,542
1417,542
1408,540
1415,545
1417,546
1420,547
1420,548
1421,547
1422,547
1422,546
1418,550
1416,554
1418,551
1421,549
1421,549
1421,548
1422,548
1423,547
1424,546
1424,546
1426,546
1426,545
1425,545
1425,545
997,809
969,786
966,784
964,784
961,785
957,787
953,789
952,789
949,791
946,791
945,791
943,793
943,793
940,794
937,792
940,792
942,792
945,792
947,792
949,792
950,792
949,793
949,796
949,798
948,796
947,794
947,795
951,797
951,798
950,798
950,799
951,799
953,799
954,799
956,798
956,798
955,798
957,798
956,799
955,801
955,801
955,801
955,800
953,798
953,797
952,797
945,792
946,793
947,794
949,792
949,793
950,795
952,797
952,797
953,795
954,795
954,794
954,795
954,795
953,794
953,791
953,792
954,793
955,794
957,794
958,794
957,791
958,791
959,793
958,797
959,798
959,800
960,800
961,800
962,801
962,802
962,803
961,803
960,802
959,802
954,799
952,797
952,797
952,798
954,799
956,801
957,800
958,800
958,805
958,805
958,805
958,805
958,805
957,804
958,803
958,802
956,803
956,804
956,805
958,804
960,804
964,803
964,802
964,800
965,800
967,801
968,802
967,803
965,803
965,802
963,800
962,799
965,799
968,799
968,799
970,798
974,797
975,795
976,795
976,795
977,795
977,795
975,795
973,795
967,792
968,790
971,791
975,791
974,788
969,786
971,787
973,788
976,790
975,790
977,792
978,792
978,792
975,793
972,796
972,800
971,802
969,804
972,802
972,801
972,802
972,805
969,804
969,801
970,802
970,801
