x,y
103,67
104,68
107,70
110,71
110,71
112,73
115,75
116,76
118,78
118,79
118,79
118,80
118,81
119,81
119,82
119,82
118,82
119,83
118,84
118,84
118,83
118,84
118,83
117,83
117,83
116,83
115,83
115,83
115,83
114,84
113,84
113,85
113,85
114,86
114,86
113,86
113,86
113,87
113,87
114,86
115,86
115,86
116,86
116,86
116,86
115,87
115,88
114,87
113,87
113,86
112,86
112,86
111,87
111,88
111,88
110,89
110,89
109,89
108,89
108,90
108,90
108,90
107,90
107,90
106,91
105,91
104,91
104,91
104,91
104,91
104,91
104,90
103,90
103,90
103,91
103,91
102,91
103,91
102,91
102,90
103,90
103,89
103,88
103,88
103,88
104,88
104,88
104,88
104,87
104,87
104,87
103,86
103,85
103,85
103,85
104,84
103,83
104,83
103,82
103,82
103,82
103,81
103,81
103,81
103,81
103,80
103,80
103,80
103,81
103,81
103,81
102,81
102,82
103,82
104,82
104,82
103,82
103,82
103,82
103,82
103,82
103,83
103,83
104,84
105,84
105,85
105,85
105,85
107,87
107,87
108,88
108,88
108,88
108,88
110,89
110,89
110,90
111,90
111,91
111,92
112,92
112,93
113,95
113,95
113,96
113,96
113,97
113,97
114,98
114,99
78,1049
82,1046
85,1045
86,1044
86,1043
87,1043
88,1042
88,1042
88,1041
88,1041
90,1040
90,1040
90,1040
89,1039
89,1039
86,1039
82,1039
80,1039
79,1040
77,1039
76,1038
76,1037
76,1037
77,1036
78,1035
79,1032
81,1031
81,1031
82,1029
82,1029
81,1027
81,1026
81,1025
81,1024
81,1023
80,1023
80,1023
80,1023
79,1024
79,1024
79,1023
78,1023
78,1023
78,1023
78,1023
78,1023
78,1022
78,1023
78,1024
78,1024
77,1024
77,1023
77,1023
76,1022
75,1022
74,1022
74,1021
73,1021
74,1020
74,1020
75,1021
76,1021
76,1022
77,1022
77,1022
77,1022
78,1023
78,1024
79,1025
79,1026
79,1026
78,1026
78,1026
77,1026
77,1026
76,1026
77,1026
77,1026
77,1027
77,1028
78,1028
77,1028
77,1028
77,1028
77,1028
78,1028
78,1028
78,1028
78,1028
78,1028
79,1028
79,1028
78,1028
79,1028
79,1029
79,1029
79,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
80,1030
79,1030
78,1030
78,1030
78,1031
78,1030
78,1030
77,1029
77,1030
77,1030
77,1030
77,1030
76,1030
76,1030
76,1031
75,1031
75,1032
74,1033
74,1033
74,1034
73,1035
73,1035
72,1035
72,1035
72,1036
72,1036
73,1036
72,1037
73,1036
72,1036
72,1036
72,1036
72,1036
72,1035
71,1035
71,1035
71,1035
72,1034
72,1034
72,1035
72,1035
1793,115
1793,110
1794,105
1797,100
1797,99
1800,95
1800,93
1800,93
1800,91
1800,91
1801,91
1801,91
1802,90
1802,89
1801,89
1802,88
1802,88
1802,87
1803,86
1803,85
1803,85
1803,85
1803,85
1803,85
1804,84
1804,84
1804,83
1804,83
1804,83
1804,82
1804,82
1804,81
1801,80
1799,79
1798,78
1798,78
1797,77
1797,75
1796,75
1795,73
1795,73
1796,73
1796,72
1795,73
1797,72
1798,72
1800,72
1802,72
1802,72
1803,71
1803,71
1803,72
1804,72
1804,71
1804,71
1804,71
1803,71
1803,72
1802,72
1802,73
1802,73
1801,73
1801,74
1800,74
1800,75
1800,76
1800,77
1801,78
1801,77
1801,76
1801,76
1802,76
1802,76
1802,75
1803,75
1803,75
1801,73
1799,73
1799,73
1799,74
1799,74
1799,76
1799,76
1800,76
1800,76
1801,76
1802,76
1802,76
1802,76
1801,75
1801,75
1800,76
1799,77
1798,78
1797,79
1797,80
1796,80
1796,80
1796,81
1795,82
1795,82
1795,83
1796,83
1796,83
1795,84
1795,84
1793,84
1793,84
1793,84
1793,84
1792,85
1792,86
1792,87
1791,87
1791,88
1791,89
1791,90
1790,91
1790,91
1790,91
1790,92
1790,93
1789,94
1788,94
1788,95
1789,95
1789,96
1788,96
1788,96
1788,96
1789,97
1789,97
1790,98
1789,98
1789,97
1787,97
1787,97
1788,98
1789,99
1790,100
1790,102
1791,102
1790,103
1790,102
1790,103
1790,103
1790,103
1790,103
1789,103
1789,104
1835,1046
1834,1044
1835,1043
1834,1041
1834,1041
1834,1041
1834,1040
1831,1038
1829,1038
1829,1038
1828,1038
1828,1037
1828,1036
1829,1035
1829,1034
1829,1033
1829,1032
1828,1032
1828,1032
1828,1032
1828,1032
1828,1032
1828,1031
1827,1029
1827,1028
1827,1025
1826,1025
1827,1023
1828,1022
1828,1022
1829,1021
1829,1020
1829,1019
1829,1018
1829,1018
1829,1017
1830,1016
1829,1016
1829,1015
1829,1015
1829,1016
1828,1016
1827,1016
1827,1016
1827,1016
1827,1015
1826,1016
1826,1016
1824,1016
1824,1016
1823,1016
1822,1016
1821,1016
1820,1016
1819,1016
1818,1017
1819,1017
1818,1017
1817,1017
1817,1017
1816,1017
1815,1017
1814,1017
1813,1017
1813,1017
1814,1018
1814,1017
1813,1018
1813,1018
1813,1018
1813,1019
1812,1019
1812,1020
1812,1021
1812,1022
1812,1022
1813,1021
1814,1021
1815,1021
1816,1021
1817,1021
1817,1021
1819,1021
1820,1020
1820,1021
1821,1021
1822,1022
1823,1022
1824,1023
1824,1023
1825,1023
1823,1023
1823,1023
1823,1022
1822,1022
1822,1022
1821,1022
1821,1022
1821,1022
1821,1022
1821,1022
1821,1023
1821,1023
1822,1023
1822,1023
1822,1023
1822,1022
1822,1022
1823,1021
1823,1021
1822,1021
1822,1022
1822,1022
1823,1023
1823,1023
1824,1023
1824,1023
1824,1023
1824,1023
1825,1023
1825,1023
1825,1023
1825,1023
1825,1024
1825,1025
1826,1025
1826,1026
1825,1027
1825,1027
1824,1027
1824,1026
1822,1026
1822,1026
1822,1026
1821,1027
1821,1027
1819,1027
1818,1027
1818,1027
1818,1027
1818,1027
1819,1028
1819,1028
1820,1028
1820,1027
1821,1026
1822,1025
1823,1024
1824,1023
1824,1023
952,530
952,531
952,533
952,534
951,535
951,535
951,536
951,536
951,535
951,535
952,535
952,535
952,535
951,535
951,535
951,535
951,535
951,535
951,535
951,535
951,534
951,533
951,532
951,529
950,529
951,527
952,527
952,527
952,526
952,526
952,525
952,525
952,525
951,526
952,526
952,526
952,526
951,526
951,527
952,527
952,527
953,526
953,525
954,525
954,525
955,525
955,525
954,526
954,527
953,527
953,528
952,528
952,529
952,529
952,530
953,529
953,529
954,530
955,529
955,529
955,529
955,529
955,529
954,529
954,529
954,529
954,529
953,528
953,528
953,528
953,527
953,527
953,527
952,528
951,528
951,527
952,527
953,527
954,526
955,526
955,526
956,526
957,526
957,527
958,527
958,528
959,529
959,529
959,528
959,528
959,528
959,528
959,528
959,529
959,529
959,530
958,530
958,530
959,530
959,530
959,530
959,530
959,530
959,531
959,532
959,533
960,532
960,532
959,532
958,533
959,532
959,532
959,533
959,533
959,533
959,534
959,534
958,535
958,536
958,536
958,537
957,538
957,538
958,538
958,539
958,539
958,539
958,539
958,539
957,539
957,538
957,537
957,536
957,535
957,534
957,534
957,533
957,533
957,531
957,530
957,531
956,532
956,532
957,532
957,534
957,534
958,534
958,534
957,534
957,534
470,536
470,537
470,538
470,538
469,538
470,538
470,538
470,538
470,537
470,534
470,533
470,532
470,530
470,530
470,529
469,529
469,528
468,529
468,529
468,529
468,529
467,529
467,529
467,529
468,530
467,530
466,530
466,530
465,530
465,530
466,531
466,533
466,533
466,534
466,534
467,534
467,534
469,535
470,536
470,536
471,536
471,536
471,537
470,537
470,538
469,539
469,539
468,539
468,539
467,539
467,539
467,539
466,540
466,540
466,540
466,541
467,541
467,541
467,541
468,540
468,540
468,540
467,540
467,540
467,540
466,540
466,540
467,540
467,540
468,539
470,537
471,537
472,537
472,537
473,537
473,537
473,537
472,538
473,538
473,537
472,537
472,537
473,538
472,538
473,537
473,537
473,538
474,538
474,539
474,539
474,539
474,539
474,540
474,541
474,541
474,540
474,540
474,539
474,539
474,539
474,540
474,539
474,540
474,540
474,540
474,540
474,540
473,538
472,538
471,538
471,537
471,537
471,537
471,537
470,537
470,537
470,537
470,537
470,537
470,538
471,538
471,538
471,538
472,539
472,539
473,540
474,540
474,540
474,541
473,540
473,540
474,541
474,541
474,542
474,542
473,542
473,543
473,543
473,544
473,544
474,543
474,543
473,543
473,544
473,545
473,545
473,544
473,544
473,543
473,543
956,279
956,278
955,278
955,278
955,278
956,278
956,278
956,277
955,277
955,277
955,277
955,277
954,277
954,276
954,276
954,275
954,275
953,275
953,274
952,274
952,275
952,275
951,275
951,275
951,274
950,274
950,274
950,274
950,273
951,272
952,271
953,270
953,269
954,269
954,269
954,269
955,269
955,269
955,269
956,270
956,270
956,270
957,270
957,271
958,272
958,272
959,273
