x,y
100,77
100,78
100,77
99,77
99,77
98,78
98,78
96,78
96,78
96,78
95,81
95,81
94,81
95,82
95,81
95,80
95,80
94,80
94,81
94,80
94,80
95,80
96,80
97,80
97,80
97,80
97,80
98,80
99,79
99,80
99,80
98,81
97,80
97,79
95,79
95,80
96,80
96,80
96,78
97,76
97,75
98,72
98,71
98,71
98,73
98,73
98,75
98,75
98,74
98,74
97,75
97,76
97,76
95,73
95,73
95,72
95,72
96,74
95,75
96,75
96,76
96,76
96,74
97,73
97,73
97,75
96,75
96,76
96,76
96,77
97,79
97,80
97,81
98,81
100,81
99,83
100,84
100,85
100,84
99,83
99,85
99,85
100,86
100,88
100,89
100,89
101,89
102,88
102,86
103,83
104,82
105,83
106,84
107,84
107,84
107,85
106,85
106,85
106,84
107,81
106,81
107,82
107,83
107,83
107,83
107,83
107,83
106,83
106,82
105,81
106,81
107,78
107,77
105,74
103,72
103,69
102,68
100,69
101,72
101,73
100,78
100,79
100,81
99,83
98,82
98,81
99,81
99,82
99,84
100,85
101,84
102,84
102,84
103,85
104,84
106,83
107,82
108,81
110,83
110,84
111,86
112,87
116,89
117,89
117,88
116,87
116,86
116,85
116,85
116,86
92,1035
92,1035
94,1032
95,1031
98,1033
98,1035
101,1038
102,1039
101,1040
98,1040
96,1039
94,1037
90,1035
89,1034
88,1035
87,1036
86,1040
87,1038
88,1035
88,1032
88,1032
88,1029
88,1028
84,1027
83,1031
83,1033
82,1039
80,1040
78,1039
76,1038
76,1040
76,1040
76,1041
76,1041
77,1042
75,1041
76,1041
78,1039
78,1038
79,1038
79,1039
79,1039
81,1040
82,1040
85,1042
84,1042
84,1043
83,1044
83,1042
84,1041
85,1042
85,1042
87,1041
88,1041
88,1042
87,1040
86,1038
83,1038
83,1037
84,1036
85,1035
86,1033
87,1032
87,1034
85,1035
83,1036
81,1035
82,1034
81,1034
81,1035
82,1035
82,1035
82,1036
82,1039
81,1038
80,1037
79,1037
79,1037
78,1036
78,1035
79,1034
80,1032
80,1032
81,1032
80,1032
78,1032
78,1032
75,1033
77,1035
78,1035
79,1038
80,1038
78,1038
81,1040
82,1039
85,1040
85,1041
84,1041
84,1040
84,1039
84,1041
85,1041
84,1042
85,1043
85,1043
85,1043
85,1043
85,1040
85,1041
85,1042
86,1042
85,1043
83,1042
83,1042
81,1042
80,1043
80,1045
80,1048
81,1048
81,1047
81,1047
81,1046
81,1045
80,1044
77,1044
77,1044
77,1045
77,1045
77,1045
75,1045
75,1045
74,1044
75,1043
75,1043
75,1043
74,1042
74,1042
74,1043
74,1042
72,1042
71,1041
70,1041
68,1041
66,1043
66,1043
67,1041
67,1042
67,1044
66,1047
66,1051
1803,73
1802,74
1800,74
1800,74
1801,73
1800,74
1799,75
1796,77
1795,76
1795,77
1794,77
1795,75
1795,76
1796,75
1795,75
1795,75
1796,74
1796,74
1799,74
1801,75
1808,73
1811,72
1813,73
1813,75
1812,76
1812,75
1813,73
1814,72
1815,72
1816,72
1817,72
1815,73
1815,75
1814,75
1812,78
1812,79
1811,82
1809,84
1809,85
1807,88
1805,89
1807,87
1807,87
1809,87
1809,87
1809,84
1808,83
1808,81
1809,78
1809,76
1810,73
1810,71
1810,71
1809,71
1809,71
1807,72
1806,72
1807,72
1806,72
1804,72
1803,72
1802,74
1802,76
1801,76
1802,78
1803,77
1803,76
1804,75
1805,75
1806,76
1805,76
1804,77
1804,77
1803,77
1803,77
1802,77
1800,77
1800,77
1800,77
1800,75
1801,75
1800,76
1799,77
1798,78
1798,80
1798,79
1799,78
1799,78
1800,77
1800,78
1800,78
1799,81
1799,83
1798,83
1799,82
1799,83
1797,83
1797,82
1798,82
1798,82
1796,83
1795,82
1796,82
1796,82
1798,81
1799,82
1800,82
1801,80
1802,79
1803,78
1804,77
1804,77
1806,78
1807,81
1807,82
1807,83
1807,82
1806,81
1807,82
1807,83
1806,81
1806,81
1806,81
1806,81
1807,83
1806,83
1806,84
1805,82
1806,82
1807,82
1807,82
1807,81
1809,81
1809,82
1809,82
1811,82
1811,82
1811,80
1811,80
1810,80
1810,81
1811,82
1812,83
1812,83
1812,86
1811,86
1810,86
1811,88
1810,88
1810,90
1850,1029
1851,1030
1848,1035
1847,1036
1847,1036
1847,1035
1848,1036
1847,1037
1847,1037
1846,1034
1846,1030
1844,1026
1842,1026
1843,1025
1844,1023
1844,1022
1842,1022
1842,1021
1840,1017
1842,1014
1843,1014
1845,1010
1846,1010
1846,1011
1847,1009
1847,1009
1847,1010
1847,1010
1846,1010
1846,1010
1844,1008
1843,1010
1843,1011
1843,1012
1843,1010
1843,1010
1841,1011
1841,1011
1838,1012
1837,1012
1838,1012
1838,1013
1838,1016
1840,1016
1840,1016
1838,1017
1838,1018
1835,1020
1835,1021
1837,1022
1840,1024
1840,1025
1840,1024
1841,1023
1840,1024
1842,1024
1843,1024
1844,1024
1844,1025
1845,1024
1845,1023
1846,1022
1846,1019
1846,1017
1844,1013
1843,1013
1841,1013
1843,1014
1844,1013
1842,1013
1838,1013
1838,1013
1838,1013
1838,1014
1837,1013
