x,y
103,58
103,60
103,62
104,63
103,65
102,67
101,70
100,71
99,71
98,73
97,74
97,77
98,76
99,74
99,75
99,78
103,79
104,79
105,76
105,75
106,74
107,73
108,74
109,73
109,72
109,71
109,71
107,68
107,67
106,67
108,66
108,67
107,68
107,71
107,72
107,74
107,73
106,71
106,71
106,71
107,72
107,71
108,71
108,71
108,72
108,72
108,72
108,71
109,70
108,68
108,66
108,65
107,63
107,63
107,65
107,66
107,67
108,68
107,68
108,68
108,69
109,70
109,71
109,71
110,72
111,71
111,71
110,72
110,73
110,73
111,73
111,74
112,75
113,74
112,75
112,75
112,75
111,75
111,76
111,76
111,76
112,76
112,76
112,75
111,74
111,74
111,74
111,75
111,75
110,78
110,79
109,79
109,81
109,81
109,81
109,83
109,85
109,88
110,89
112,90
112,89
113,89
113,89
113,89
113,89
113,88
113,87
111,89
110,88
111,87
111,87
109,88
109,88
109,87
109,86
108,87
108,87
108,86
108,86
107,86
106,87
106,87
107,87
107,87
106,87
106,88
107,89
108,89
110,91
110,90
111,90
110,88
110,87
110,87
110,87
110,86
109,85
109,86
109,86
109,86
109,86
110,87
110,87
109,88
108,90
108,90
107,91
107,91
106,92
105,91
75,1046
77,1045
77,1043
77,1042
76,1041
76,1040
78,1040
78,1039
80,1039
79,1041
80,1042
80,1043
80,1042
79,1044
78,1047
78,1048
76,1050
75,1050
74,1049
73,1048
71,1047
68,1046
68,1046
68,1045
67,1044
70,1042
74,1040
74,1039
77,1038
78,1036
79,1036
79,1035
80,1035
80,1034
79,1034
79,1034
80,1033
81,1033
83,1033
85,1032
86,1033
86,1033
87,1033
87,1033
86,1032
85,1032
85,1031
84,1032
84,1033
85,1032
85,1032
86,1034
85,1034
84,1036
85,1038
86,1039
86,1038
86,1037
84,1035
85,1035
85,1035
87,1033
87,1033
87,1033
86,1034
86,1034
85,1034
85,1034
87,1034
86,1035
84,1034
82,1036
81,1036
81,1036
79,1037
79,1038
77,1037
77,1036
77,1036
78,1037
80,1038
79,1040
79,1042
79,1042
79,1041
78,1039
77,1037
76,1035
76,1033
76,1032
78,1032
78,1033
76,1034
76,1034
77,1034
77,1034
77,1034
79,1032
79,1032
79,1034
79,1034
78,1034
78,1036
78,1036
77,1035
77,1035
80,1037
82,1036
82,1036
84,1036
85,1036
87,1037
87,1038
87,1039
87,1040
87,1040
87,1039
87,1040
87,1041
87,1042
87,1043
87,1042
87,1042
86,1042
85,1041
85,1042
85,1044
85,1044
84,1045
85,1045
85,1047
84,1047
84,1047
83,1048
83,1046
82,1045
81,1044
79,1045
80,1045
81,1043
83,1044
83,1044
82,1045
82,1045
82,1047
83,1047
83,1046
83,1046
83,1046
84,1046
1800,83
1800,82
1799,82
1798,81
1799,81
1801,82
1801,82
1800,81
1801,79
1802,79
1801,78
1801,78
1801,77
1799,78
1798,78
1798,76
1798,77
1799,77
1800,77
1801,78
1800,79
1800,78
1800,76
1800,76
1800,73
1801,72
1801,71
1801,69
1802,68
1803,67
1804,67
1805,66
1805,65
1805,65
1805,63
1805,63
1805,61
1804,62
1804,62
1804,62
1804,63
1805,62
1806,62
1806,63
1807,65
1807,65
1805,65
1804,66
1803,68
1803,67
1803,67
1802,69
1802,70
1801,70
1801,70
1801,70
1801,70
1801,70
1801,69
1800,69
1799,68
1801,67
1802,69
1802,71
1802,73
1801,74
1801,75
1801,75
1802,75
1802,75
1801,74
1802,74
1800,72
1800,71
1800,70
1800,70
1799,68
1800,69
1800,69
1799,70
1799,69
1799,69
1799,70
1798,70
1798,70
1797,70
1798,70
1799,70
1803,69
1806,68
1807,68
1808,68
1810,68
1810,68
1811,68
1813,68
1815,70
1815,71
1816,72
1816,73
1816,73
1816,73
1818,74
1817,73
1817,72
1817,72
1817,72
1817,70
1817,70
1817,70
1817,71
1817,72
1817,73
1816,73
1815,75
1815,76
1814,77
1815,77
1815,78
1816,79
1816,79
1816,79
1816,79
1816,78
1815,78
1815,79
1816,79
1816,78
1815,77
1815,77
1814,78
1814,79
1813,78
1813,78
1813,78
1813,79
1812,81
1812,80
1812,78
1812,77
1811,75
1812,73
1812,72
1811,70
1811,68
1811,67
1811,67
1811,66
1811,66
1811,67
1852,1021
1852,1023
1852,1025
1853,1025
1853,1024
1851,1022
1850,1020
1850,1020
1851,1021
1852,1021
1852,1022
1853,1020
1854,1020
1854,1019
1853,1020
1854,1020
1853,1021
1852,1022
1852,1023
1852,1025
1852,1026
1853,1025
1852,1025
1852,1022
1852,1021
1852,1022
1852,1020
1852,1020
1851,1017
1850,1015
1850,1015
1850,1016
1850,1017
1850,1018
1850,1017
1850,1017
1850,1016
1849,1016
1852,1017
1852,1017
1851,1013
1849,1011
1850,1011
1850,1012
1851,1012
1851,1014
1851,1014
1851,1014
1851,1015
1850,1017
1851,1019
1851,1019
1851,1017
1852,1016
1852,1017
1852,1016
1851,1016
1849,1015
1848,1014
1846,1012
1845,1012
1842,1011
1840,1010
1839,1011
1837,1012
1837,1011
1836,1009
1834,1011
1833,1010
1830,1011
1831,1011
1831,1011
1832,1010
1833,1010
1832,1011
1831,1011
1831,1012
1831,1011
1830,1009
1830,1009
1831,1008
1832,1006
1832,1006
1834,1004
1834,1004
1834,1004
1833,1004
1833,1004
1834,1007
1835,1009
1834,1013
1834,1013
1835,1013
1834,1018
1833,1019
1832,1020
1832,1020
1832,1020
1833,1022
1834,1023
1833,1023
1832,1021
1831,1022
1832,1023
1832,1024
1833,1023
1834,1024
1835,1024
1836,1024
1836,1022
1835,1020
1835,1019
1836,1019
1836,1019
1835,1020
1835,1020
1834,1021
1833,1024
1832,1024
1831,1025
1829,1026
1828,1026
1828,1027
1827,1029
1828,1030
1827,1030
1827,1031
1827,1032
1828,1033
1826,1033
1826,1033
1825,1033
1825,1033
1825,1032
1826,1031
1826,1031
1825,1031
1828,1030
1830,1029
1832,1027
1832,1026
1834,1023
1835,1020
1837,1020
1837,1020
1837,1019
1836,1019
1836,1018
1836,1019
1834,1020
1033,681
1025,670
1013,636
997,595
981,555
975,541
971,529
969,528
970,526
971,525
972,524
972,525
971,526
967,523
964,519
961,518
958,519
957,517
956,515
954,510
953,509
952,509
953,509
953,510
951,512
951,513
953,512
954,511
956,510
957,509
958,507
959,504
959,503
960,502
960,502
960,502
960,501
960,501
961,506
962,507
962,507
963,504
962,504
962,506
962,506
962,505
962,504
962,504
963,504
962,503
961,503
963,504
964,504
966,504
964,506
963,507
962,506
962,506
963,508
964,509
964,512
963,512
964,511
964,511
964,511
963,513
963,514
964,514
964,515
965,516
966,517
966,518
964,517
963,518
962,518
960,519
957,521
956,523
956,523
955,522
955,523
956,523
955,522
954,522
953,521
953,520
951,521
950,520
950,519
950,518
949,518
947,518
947,517
947,514
948,515
948,516
947,517
947,518
947,519
948,519
952,519
954,517
955,517
957,517
958,517
960,517
960,518
960,519
960,518
960,518
960,518
959,518
957,518
956,519
954,519
953,518
954,518
953,517
951,516
951,516
951,516
952,517
951,517
950,517
950,516
950,516
949,516
948,518
949,519
949,520
948,520
946,521
945,521
944,520
945,519
944,519
945,521
945,522
946,522
947,523
948,523
947,523
945,523
945,523
947,522
948,521
951,518
951,517
951,517
953,517
461,514
461,515
463,516
463,516
464,518
464,519
463,520
462,521
462,522
462,523
462,523
463,523
465,524
465,525
467,526
467,526
469,527
469,527
470,528
469,528
469,528
468,525
468,522
467,521
466,521
466,522
467,522
467,521
466,521
466,521
467,521
467,521
467,521
467,521
467,519
466,519
466,521
465,521
466,522
466,522
466,522
466,521
467,521
466,521
466,521
467,521
467,521
467,520
469,523
469,524
471,525
473,524
475,525
475,524
477,525
477,525
478,525
478,525
479,525
480,524
480,526
480,526
480,528
480,530
480,530
479,530
478,530
478,530
478,531
479,532
479,534
479,535
479,535
480,535
479,535
480,535
482,538
482,539
482,539
481,541
482,540
483,539
483,540
482,540
482,539
482,538
481,539
481,538
481,536
480,537
480,539
479,539
478,537
477,538
477,537
477,535
475,533
475,533
473,534
473,532
473,532
474,531
474,532
473,533
473,533
472,532
471,533
471,533
470,532
471,533
471,534
472,536
472,537
472,537
472,537
471,538
471,537
472,538
473,537
472,537
472,536
472,536
472,536
472,536
473,536
473,536
474,538
474,537
473,537
474,537
474,537
473,536
472,537
472,539
471,539
470,540
470,539
469,538
469,538
468,538
468,538
468,540
468,541
468,542
468,543
468,543
467,543
467,542
467,543
468,543
958,278
958,277
958,276
957,274
957,273
958,272
958,272
958,269
958,268
958,268
958,269
956,268
955,268
956,269
957,269
957,268
957,268
957,268
957,267
957,267
956,267
956,266
956,266
955,266
955,265
954,265
955,265
957,262
956,260
957,260
959,261
959,262
959,263
960,265
960,265
960,266
960,268
959,269
959,268
959,268
960,269
960,267
960,266
960,266
960,267
961,268
960,268
959,269
959,269
959,269
959,269
959,268
959,269
958,268
958,267
958,265
958,263
957,263
958,263
958,262
956,262
957,262
957,262
958,261
959,261
960,261
960,261
959,262
960,263
960,263
960,265
959,265
958,265
959,266
960,265
959,264
959,263
958,262
959,260
959,260
959,260
959,260
959,260
959,260
960,261
961,264
961,266
961,267
961,268
961,268
961,268
961,269
960,269
960,268
960,268
959,268
958,268
958,269
958,270
958,269
958,269
957,270
957,270
957,270
956,270
955,270
955,270
955,271
954,271
953,271
953,272
953,272
954,272
954,272
953,273
953,275
952,275
951,275
951,275
952,276
952,278
953,278
952,279
953,281
954,281
954,280
954,281
955,280
956,281
957,282
957,281
958,280
958,279
957,278
956,278
956,279
956,280
955,281
955,282
954,281
953,281
953,283
953,284
953,284
953,285
953,286
952,287
952,286
952,286
953,288
1450,525
1448,524
1447,523
1446,523
1446,521
1448,520
1450,519
1453,517
1452,517
1453,516
1452,514
1452,513
1452,512
1452,512
1452,512
1452,510
1451,510
1451,512
1451,513
1452,512
1453,513
1453,515
1453,515
1454,516
1454,517
1454,518
1454,518
1454,518
1455,520
1455,520
1454,519
1454,519
1455,519
1455,522
1455,522
1456,522
1455,521
1456,520
1456,520
1456,520
1456,519
1456,518
1456,516
1456,516
1456,515
1457,515
1457,515
1456,515
1455,514
1455,513
1456,512
1457,512
1457,510
1458,510
1457,510
1457,510
1457,511
1456,513
1456,513
1455,514
1454,514
1454,514
1454,514
1453,516
1454,516
1454,517
1453,517
1453,517
1452,517
1452,516
1452,515
1454,515
1454,514
1456,515
1456,516
1457,517
1457,518
1457,518
1457,520
1458,520
1458,519
1458,519
1459,519
1460,524
1462,527
1462,529
1462,529
1461,526
1460,525
1460,526
1460,526
1459,526
1459,527
1459,526
1460,526
1460,524
1460,524
1459,524
1458,524
1457,527
1457,527
1456,526
1455,527
1454,527
1454,526
1455,525
1455,525
1454,524
1455,523
1455,523
1456,524
1456,524
1456,524
1457,524
1457,524
1458,524
1457,524
1456,524
1455,524
1455,523
1455,523
1454,522
1454,523
1455,522
1454,521
1453,520
1454,520
1454,520
1454,520
1454,520
1453,521
1453,521
1452,521
1452,522
1451,523
1451,523
1452,526
1451,525
1451,525
1451,524
1452,524
1452,524
1452,524
1452,525
1453,525
1454,525
1454,526
1454,526
1453,527
1453,526
950,798
949,797
947,800
947,801
947,805
947,805
947,804
947,804
946,805
948,804
949,803
949,805
950,808
950,807
951,807
950,807
951,809
952,809
952,807
952,800
951,798
951,796
952,793
952,793
952,789
950,786
950,786
948,785
948,785
948,786
949,786
949,786
950,785
950,784
949,781
950,779
951,779
952,777
952,777
952,778
953,780
953,779
953,778
953,777
954,779
953,780
952,780
953,779
954,781
955,782
956,784
957,785
957,784
957,784
955,786
956,785
956,785
955,788
956,789
956,789
957,791
958,790
959,789
959,788
958,788
958,794
959,794
958,793
958,793
957,794
958,797
958,798
958,799
958,799
958,800
959,800
958,800
958,800
957,799
958,798
959,799
959,800
958,798
957,798
957,796
958,795
958,796
958,795
958,794
958,794
958,794
958,795
957,794
956,794
957,793
957,792
956,793
957,796
957,796
956,796
955,796
955,795
954,795
954,795
955,796
955,796
955,796
956,794
957,793
958,795
957,796
958,797
959,798
959,798
960,798
960,798
962,795
962,796
962,799
962,802
963,799
962,795
960,794
959,796
959,796
960,798
960,797
960,795
957,794
957,793
956,792
957,793
956,793
956,793
956,793
958,793
959,792
960,791
961,790
962,789
960,789
959,788
958,789
957,791
957,791
959,794
960,795
959,798
961,797
962,799
