x,y
108,78
107,78
106,76
106,76
105,77
105,78
105,80
105,80
105,80
104,81
104,81
103,82
103,82
104,83
105,83
105,83
105,84
105,85
105,85
104,86
103,87
104,87
104,87
108,86
108,85
109,84
110,84
112,83
113,83
114,82
114,83
114,83
114,84
113,84
113,84
114,82
115,81
115,81
116,81
116,83
117,84
117,84
117,83
117,84
117,84
117,85
118,85
118,86
118,86
118,87
117,87
116,88
116,89
115,89
114,88
113,87
113,87
112,86
111,86
110,85
109,85
109,84
110,82
110,82
109,81
108,80
108,81
108,82
107,83
107,84
107,84
107,83
107,82
107,81
107,81
108,81
108,82
108,81
108,81
107,80
109,80
109,80
108,80
110,79
110,79
110,78
111,79
111,78
111,77
111,76
110,77
111,78
111,79
111,80
111,80
112,81
112,82
112,83
112,85
112,86
112,88
113,91
113,92
115,94
116,94
115,94
115,95
116,97
115,97
115,98
116,100
116,101
116,101
118,102
118,103
117,105
117,105
116,105
116,105
117,105
117,105
116,106
115,106
114,105
114,105
114,104
114,104
114,103
114,103
113,102
112,103
112,103
113,103
112,103
113,103
113,103
113,103
113,103
113,103
112,103
112,102
113,103
113,103
111,102
111,102
112,103
113,104
113,104
112,105
112,106
48,1053
48,1052
48,1048
49,1045
49,1043
50,1043
51,1040
51,1037
50,1033
50,1033
50,1033
50,1033
50,1033
52,1032
53,1032
52,1032
52,1031
52,1032
52,1032
53,1031
54,1030
54,1030
52,1030
52,1029
49,1027
47,1027
47,1027
46,1027
45,1026
44,1026
44,1026
44,1026
46,1027
48,1026
49,1026
50,1025
50,1026
51,1026
51,1027
52,1027
52,1027
53,1027
53,1026
54,1027
54,1026
55,1025
55,1025
56,1024
56,1024
55,1024
55,1023
54,1023
55,1024
55,1025
56,1025
56,1024
55,1024
55,1024
56,1024
56,1025
56,1026
56,1026
56,1025
56,1025
56,1026
56,1027
56,1027
56,1027
57,1028
57,1029
57,1029
58,1029
56,1028
54,1026
54,1026
53,1026
53,1026
52,1025
49,1024
47,1024
47,1024
47,1024
47,1023
48,1024
51,1024
52,1023
53,1024
55,1023
55,1023
56,1022
57,1022
57,1022
57,1023
58,1024
58,1026
58,1026
57,1026
58,1024
57,1024
58,1023
59,1022
60,1022
59,1024
60,1024
60,1024
60,1025
60,1025
60,1025
60,1025
60,1026
61,1027
60,1027
61,1026
62,1025
61,1026
60,1025
60,1025
60,1026
60,1026
61,1026
63,1026
63,1026
62,1026
62,1023
62,1023
60,1024
60,1024
58,1024
58,1024
58,1022
57,1022
58,1022
59,1022
59,1022
59,1021
59,1021
59,1022
59,1022
60,1023
62,1024
61,1025
60,1024
59,1024
59,1024
59,1024
59,1023
59,1023
60,1022
59,1021
59,1021
1807,65
1807,65
1807,65
1807,66
1806,68
1804,69
1803,69
1802,70
1801,70
1802,70
1801,71
1801,70
1801,70
1801,68
1801,66
1799,63
1798,58
1798,56
1797,51
1796,49
1796,49
1797,48
1797,48
1798,49
1797,49
1798,50
1800,50
1801,49
1802,49
1803,48
1802,47
1801,45
1801,46
1809,47
1815,48
1817,48
1821,47
1821,46
1823,46
1824,45
1824,44
1820,42
1820,42
1819,40
1819,40
1818,40
1817,42
1816,42
1816,42
1814,42
1812,42
1811,44
1811,44
1809,44
1808,45
1808,45
1806,45
1806,45
1804,44
1804,43
1803,44
1801,44
1801,45
1800,47
1801,48
1802,50
1801,50
1802,51
1802,53
1802,55
1804,56
1804,56
1805,55
1804,55
1804,55
1805,54
1805,54
1804,55
1804,55
1804,55
1804,55
1804,55
1803,55
1803,55
1802,56
1803,55
1803,54
1804,52
1805,49
1807,45
1808,44
1811,41
1811,40
1810,39
1810,39
1811,38
1812,40
1814,41
1814,41
1814,41
1813,42
1814,41
1814,41
1816,42
1817,42
1817,44
1818,44
1818,43
1818,42
1819,41
1819,39
1821,37
1821,38
1821,38
1821,38
1820,38
1819,40
1818,41
1817,42
1816,44
1816,45
1815,46
1815,48
1814,50
1813,51
1812,50
1809,49
1809,50
1807,51
1807,51
1807,52
1806,51
1806,50
1807,50
1807,50
1808,50
1809,50
1809,50
1810,50
1810,50
1809,53
1809,54
1809,55
1807,55
1806,56
1804,58
1802,62
1802,62
1803,65
1801,65
1843,1011
1844,1011
1843,1011
1842,1010
1841,1007
1841,1006
1840,1003
1840,1004
1839,1004
1838,1003
1838,1002
1841,1001
1842,1001
1841,1000
1841,998
1839,997
1838,995
1837,993
1837,992
1837,991
1837,992
1841,991
1843,991
1846,991
1848,990
1848,989
1850,990
1851,990
1851,990
1852,989
1852,989
1852,988
1852,989
1853,990
1853,990
1853,990
1853,989
1853,988
1851,987
1850,986
1850,985
1851,984
1851,984
1850,984
1849,981
1849,980
1849,981
1849,982
1849,983
1849,984
1850,985
1851,986
1854,988
1857,987
1859,987
1860,988
1864,988
1865,987
1866,988
1865,989
1864,989
1862,989
1862,989
1861,988
1863,990
1863,991
1864,990
1864,990
1863,989
1861,990
1858,992
1856,995
1855,996
1851,998
1851,999
1851,997
1849,998
1849,998
1848,998
1851,999
1851,999
1854,997
1854,996
1855,994
1855,994
1856,992
1857,992
1857,994
1856,993
1856,993
1858,994
1858,994
1857,995
1857,995
1857,995
1856,994
1856,994
1856,994
1856,993
1856,993
1856,993
1857,993
1857,993
1859,991
1859,991
1859,990
1858,992
1858,992
1859,993
1860,993
1860,993
1860,992
1860,992
1860,991
1859,991
1859,991
1859,991
1858,992
1858,993
1856,995
1855,995
1856,995
1855,994
1855,994
1855,993
1855,993
1853,994
1853,993
1853,993
1853,990
1853,989
1853,990
1853,992
1854,993
1853,995
1853,995
1854,996
1853,995
1853,994
1853,993
1853,993
1854,992
1854,991
1853,992
1852,991
1854,990
1853,989
1852,989
1851,991
1852,994
958,520
958,520
959,520
959,520
959,519
959,519
959,517
959,516
959,515
959,516
960,516
960,515
960,514
960,513
960,514
959,514
959,516
959,516
961,517
960,518
960,518
959,520
959,519
958,519
958,519
958,519
957,519
956,519
955,520
955,521
954,520
953,520
954,521
952,523
951,523
950,522
951,522
951,522
952,524
952,525
952,526
952,526
952,525
953,524
953,525
953,524
953,524
953,524
953,524
954,524
953,523
954,523
954,522
954,521
954,521
955,521
955,521
954,520
954,521
955,521
956,520
956,521
956,522
956,522
956,522
957,521
957,521
958,521
958,521
958,522
957,521
957,521
957,522
956,521
957,521
958,522
958,522
959,522
959,522
959,524
959,524
959,524
959,524
960,522
961,521
961,519
961,518
961,518
961,517
961,517
962,515
962,514
963,514
963,514
962,515
961,516
960,518
959,519
959,518
959,517
959,517
960,516
961,517
961,516
963,516
964,516
966,515
965,515
965,514
963,514
963,515
964,515
964,515
964,516
964,516
964,518
964,517
964,517
965,520
965,522
965,522
964,524
964,525
963,524
962,525
963,525
963,525
963,525
964,525
964,524
964,526
965,527
966,526
966,527
966,527
966,526
966,526
966,527
965,527
965,527
966,529
967,530
968,531
968,531
969,531
968,529
967,529
965,528
964,528
963,527
455,530
455,530
458,528
460,528
463,528
466,530
473,542
473,542
473,542
471,524
471,524
468,535
468,531
467,530
466,528
466,527
466,525
466,524
468,524
469,525
469,525
468,524
468,524
469,525
469,525
470,525
469,526
470,526
469,526
469,526
467,525
466,525
462,525
458,525
458,525
456,526
455,526
454,526
453,526
453,526
454,524
455,523
455,522
455,522
456,521
456,521
456,520
456,518
457,517
457,516
458,515
458,513
459,510
459,510
459,508
459,510
460,511
460,513
460,514
459,515
459,516
459,516
459,517
459,517
457,518
458,519
459,520
460,521
460,521
461,522
462,522
462,522
462,522
462,522
461,523
462,523
462,523
462,527
461,527
460,528
460,527
459,526
459,526
459,524
459,523
460,522
459,522
460,522
460,522
460,522
460,523
462,524
462,526
462,528
462,529
462,529
461,531
461,532
462,532
462,533
462,533
462,532
462,530
462,529
462,529
461,530
460,530
460,530
460,529
460,529
460,529
460,528
460,529
460,530
461,530
461,531
461,529
460,528
461,525
462,526
463,526
463,526
462,525
461,525
460,527
460,528
461,528
461,528
461,527
462,527
462,526
463,526
463,527
462,528
462,529
463,530
462,529
462,529
462,529
461,530
461,531
461,532
461,533
461,533
461,534
461,534
462,534
462,534
463,534
463,534
959,269
959,270
959,270
958,270
957,269
957,267
956,267
956,268
955,268
955,269
955,270
956,270
956,271
956,273
956,274
957,276
957,276
957,278
957,279
957,278
957,277
957,275
958,273
957,271
958,270
959,270
959,268
959,267
959,266
960,265
959,263
959,262
960,261
960,263
961,264
960,266
960,267
960,267
961,267
961,267
960,268
960,267
959,269
958,269
959,270
958,270
958,270
957,269
958,269
958,269
959,270
959,270
959,269
959,269
960,269
960,269
960,269
960,271
960,271
960,271
960,271
961,269
963,268
963,268
964,267
965,266
965,265
966,262
966,260
967,260
967,260
969,259
968,259
968,259
967,260
967,260
966,262
966,263
966,264
966,266
966,266
967,266
967,266
967,266
967,268
967,267
967,266
967,268
967,269
966,269
967,269
968,269
968,268
968,267
968,269
969,270
969,271
968,271
968,271
968,273
967,273
967,272
965,273
965,273
964,275
964,275
963,275
963,276
962,274
962,273
963,273
962,273
963,271
963,270
962,268
962,267
962,268
961,268
963,268
963,267
963,266
964,264
963,264
962,264
962,263
962,263
962,264
963,264
964,266
964,267
964,267
965,268
964,272
965,274
965,276
964,276
964,277
963,278
963,278
962,279
962,279
962,278
962,277
962,278
962,280
961,280
961,280
960,280
960,280
960,280
1449,518
1450,519
1449,518
1450,516
1451,515
1450,515
1450,514
