x,y
112,83
114,84
114,84
113,79
119,88
120,89
120,91
115,80
114,81
115,81
125,89
127,87
116,85
123,89
123,89
113,83
113,83
113,83
126,87
113,86
113,105
79,142
114,87
41,160
-1,194
112,89
112,89
61,167
83,136
91,124
107,101
112,86
115,100
116,97
118,100
118,99
119,98
121,96
121,96
118,96
117,97
117,99
114,103
112,107
111,107
110,108
105,111
102,116
101,118
102,121
102,121
101,117
97,119
100,115
103,113
114,91
107,104
107,105
104,116
102,117
99,123
100,119
100,117
100,116
111,83
100,127
104,128
106,125
106,126
106,125
105,125
105,123
110,113
109,90
110,91
116,127
116,123
117,117
115,115
117,114
71,171
44,204
70,161
78,154
88,140
105,117
108,112
96,123
83,132
86,127
28,180
115,85
67,148
71,145
42,177
63,157
70,147
88,126
93,121
101,110
102,114
104,111
108,105
107,108
107,110
108,108
109,101
107,99
107,100
105,104
107,106
106,105
104,105
103,106
100,108
101,107
100,106
98,104
99,103
110,101
122,102
112,99
108,96
107,95
106,93
104,92
98,89
95,90
90,92
89,92
87,90
90,89
89,90
87,88
86,88
87,88
86,87
85,87
80,90
79,92
79,98
80,97
79,96
79,94
79,93
79,90
79,90
77,89
76,86
76,84
59,1042
59,1040
60,1038
62,1035
63,1035
63,1034
63,1034
63,1033
63,1033
63,1033
63,1030
62,1030
62,1030
65,1028
67,1030
68,1031
65,1028
62,1028
61,1028
64,1029
65,1029
63,1030
62,1033
62,1034
60,1036
58,1037
56,1037
56,1038
54,1036
52,1037
50,1036
55,1034
58,1035
56,1035
55,1034
55,1033
60,1032
62,1031
66,1027
68,1026
71,1023
72,1021
73,1021
74,1020
74,1019
70,1021
69,1023
66,1023
66,1023
64,1023
60,1024
58,1024
55,1025
54,1026
52,1025
53,1026
56,1027
60,1027
61,1026
63,1027
62,1030
62,1030
64,1030
63,1030
64,1032
65,1033
66,1034
66,1034
65,1032
64,1032
63,1032
62,1031
61,1030
61,1030
61,1032
60,1034
61,1038
63,1040
64,1044
65,1045
62,1043
62,1044
63,1045
66,1046
64,1046
62,1046
62,1047
62,1047
62,1045
60,1044
58,1041
58,1041
57,1042
57,1041
57,1041
57,1041
54,1041
51,1042
50,1042
51,1039
53,1039
53,1040
55,1040
56,1040
57,1040
55,1041
54,1040
53,1040
54,1042
53,1044
51,1044
50,1044
