x,y
53,81
52,81
53,81
52,81
52,83
53,83
56,84
61,85
63,85
66,86
67,87
68,88
67,89
67,88
67,88
67,88
67,89
68,92
69,92
67,92
66,92
64,91
64,91
63,91
61,92
60,92
59,92
59,92
59,90
59,89
59,90
58,89
58,89
57,89
60,88
61,88
63,87
63,86
65,85
65,86
65,86
65,85
66,84
66,84
66,85
66,85
67,86
68,84
68,84
68,86
68,86
69,87
69,87
70,89
70,90
70,90
69,92
69,94
68,93
67,91
66,91
66,89
65,89
65,89
65,88
64,88
64,87
64,87
63,86
63,86
63,86
63,85
63,85
63,87
64,90
64,91
65,91
65,91
65,90
66,90
66,90
67,90
67,90
66,90
65,90
65,90
65,90
65,90
64,89
64,89
64,89
64,89
64,88
64,89
64,91
64,92
64,93
64,92
64,91
65,90
65,89
65,89
65,89
64,89
63,88
63,87
63,87
62,87
62,87
61,85
60,84
61,84
60,83
60,83
60,84
59,85
58,86
58,86
58,87
58,88
58,88
58,88
58,90
59,92
60,92
61,92
61,92
60,92
61,93
60,93
59,94
59,94
59,95
58,96
57,95
56,95
56,94
56,94
57,93
56,93
56,93
56,93
57,92
57,92
56,92
55,92
55,92
55,92
55,91
54,90
0,1055
1,1052
3,1050
4,1048
6,1047
7,1048
8,1048
8,1047
9,1046
9,1045
9,1044
11,1043
12,1043
13,1042
14,1041
14,1040
15,1040
17,1041
17,1041
17,1040
17,1040
17,1039
17,1040
18,1041
18,1041
18,1042
18,1042
19,1042
19,1042
18,1042
17,1042
16,1042
15,1040
15,1040
15,1040
15,1041
16,1041
16,1040
16,1039
15,1040
13,1041
12,1042
12,1043
11,1044
9,1045
9,1046
9,1047
8,1047
8,1047
7,1046
7,1046
7,1045
9,1042
10,1042
11,1041
11,1040
11,1040
11,1039
12,1039
13,1039
13,1039
14,1038
13,1037
14,1036
14,1035
14,1035
15,1035
15,1034
15,1034
15,1033
14,1034
14,1034
14,1036
14,1036
15,1036
15,1036
15,1036
16,1038
16,1039
16,1040
16,1041
16,1043
15,1043
15,1043
15,1044
15,1045
15,1045
16,1046
17,1047
15,1047
15,1048
15,1049
15,1049
15,1048
13,1048
13,1049
12,1049
12,1049
12,1049
13,1049
13,1050
14,1051
15,1051
15,1051
14,1051
14,1052
14,1053
15,1054
16,1054
16,1054
15,1055
15,1055
14,1054
14,1054
12,1054
10,1054
10,1053
11,1053
10,1053
10,1052
9,1051
10,1051
10,1051
10,1051
10,1053
11,1053
12,1054
12,1054
12,1054
14,1055
15,1057
15,1057
16,1059
17,1059
19,1061
17,1063
17,1063
18,1063
17,1063
17,1062
18,1061
19,1061
20,1062
20,1062
20,1063
20,1063
20,1064
20,1065
20,1066
20,1067
1849,74
1851,73
1852,72
1853,70
1854,70
1856,70
1857,70
1857,67
1857,66
1858,64
1859,63
1861,61
1862,59
1863,58
1863,56
1863,56
1865,55
1865,54
1865,53
1866,53
1865,53
1865,52
1865,50
1865,49
1864,49
1865,49
1865,50
1865,51
1865,51
1864,51
1864,51
1866,52
1866,52
1866,53
1866,53
1865,52
1865,52
1865,52
1866,53
1865,54
1865,54
1866,54
1866,54
1865,54
1864,55
1863,55
1863,55
1862,56
1861,56
1860,57
1860,58
1859,59
1859,59
1859,59
1859,60
1859,61
1860,62
1860,61
1861,61
1861,61
1862,61
1862,62
1862,63
1861,64
1861,66
1860,66
1858,66
1858,66
1857,64
1856,59
1856,56
1855,54
1854,52
1854,50
1854,49
1858,48
1858,47
1858,46
1857,46
1857,45
1857,45
1856,45
1856,43
1858,43
1859,43
1861,43
1862,43
1863,42
1864,42
1864,43
1865,44
1864,44
1863,45
1863,45
1862,45
1862,47
1862,47
1861,47
1861,47
1861,49
1861,51
1860,51
1859,51
1858,52
1857,52
1856,52
1854,52
1853,52
1852,52
1850,53
1850,53
1850,54
1850,55
1850,55
1851,55
1850,55
1850,56
1850,57
1849,57
1848,57
1849,57
1850,58
1850,58
1850,57
1852,57
1852,57
1853,59
1853,60
1852,60
1852,60
1852,60
1852,61
1853,60
1853,60
1853,60
1854,60
1854,58
1853,57
1854,57
1854,58
1854,59
1853,60
1853,60
1852,60
1850,62
1850,62
1850,63
1849,63
1849,62
1849,63
1886,1017
1884,1015
1883,1015
1883,1015
1886,1016
1889,1017
1891,1017
1892,1018
1892,1020
1892,1021
1893,1022
1893,1022
1894,1024
1896,1024
1897,1024
1897,1023
1897,1022
1897,1022
1897,1022
1898,1022
1897,1022
1897,1022
1896,1023
1897,1023
1897,1024
1896,1024
1895,1023
1894,1023
1893,1023
1894,1023
1894,1022
1894,1021
1894,1020
1894,1020
1895,1020
1896,1020
1897,1020
1896,1020
1895,1020
1895,1021
1895,1021
1895,1021
1895,1021
1895,1020
1895,1020
1896,1021
1896,1020
1895,1020
1895,1021
1894,1022
1893,1022
1894,1022
1894,1022
1893,1021
1891,1019
1890,1018
1886,1015
1886,1016
1887,1017
1886,1017
1885,1016
1884,1016
1883,1016
1880,1017
1878,1015
1878,1014
1878,1013
1881,1014
1884,1014
1885,1014
1887,1016
1889,1015
1890,1015
1889,1014
1889,1014
1888,1015
1888,1017
1888,1017
1888,1017
1888,1017
1888,1017
1888,1018
1887,1018
1886,1019
1885,1019
1885,1018
1884,1019
1885,1021
1886,1021
1886,1021
1887,1021
1886,1021
1886,1021
1886,1021
1887,1021
1886,1021
1886,1021
1886,1022
1887,1024
1886,1025
1886,1025
1887,1026
1888,1026
1888,1026
1889,1027
1889,1028
1891,1027
1892,1025
1893,1024
1895,1020
1895,1019
1895,1019
1895,1020
1895,1021
1895,1021
1897,1021
1898,1022
1897,1022
1897,1023
1897,1024
1896,1024
1896,1024
1897,1023
1896,1026
1896,1026
1896,1028
1895,1029
1895,1028
1898,1027
1898,1027
1899,1026
1899,1027
1899,1027
1898,1026
1898,1026
1899,1027
1900,1028
1900,1028
1900,1028
1900,1026
1900,1026
1900,1027
1900,1026
1900,1026
1901,1026
1901,1026
1900,1028
1899,1028
1899,1027
1899,1026
960,530
960,529
960,529
959,530
958,530
959,530
960,530
960,529
960,529
960,529
961,529
961,529
962,530
962,530
962,531
961,531
960,531
961,530
961,530
961,530
960,531
959,531
960,533
960,533
961,534
962,535
963,535
963,534
963,534
963,533
963,533
963,534
962,535
