x,y
73,57
72,60
67,62
62,57
63,53
63,50
61,46
60,45
60,44
49,33
58,41
57,42
57,43
58,45
57,49
56,48
54,46
55,47
55,47
54,46
54,47
58,59
60,67
59,66
59,67
59,65
59,63
59,63
59,63
60,61
59,60
58,54
55,46
54,43
55,39
56,39
56,38
57,37
57,37
58,34
59,32
59,33
58,33
59,33
63,34
66,38
68,41
69,43
69,44
69,42
70,43
72,46
75,44
75,43
77,43
77,43
76,46
75,43
74,43
76,46
78,51
77,55
78,52
78,51
76,51
77,49
80,49
82,49
81,45
83,42
83,41
83,35
85,36
85,38
104,14
77,49
75,50
74,47
75,47
76,48
78,49
79,53
80,55
81,54
82,55
83,57
81,56
81,57
79,63
81,66
80,66
76,66
75,64
75,62
77,59
77,58
78,57
78,54
82,56
81,59
81,59
79,60
79,59
78,59
78,59
80,62
81,60
81,61
81,58
79,60
79,54
79,53
78,53
77,55
77,56
78,56
79,56
79,54
77,56
78,60
78,61
82,66
83,63
82,64
81,65
81,65
94,66
80,65
96,62
83,59
82,59
81,58
79,60
95,63
93,65
66,64
81,66
80,64
94,66
95,67
94,69
75,66
91,75
90,76
75,74
74,75
74,77
74,77
73,75
68,73
59,1141
74,1041
74,1041
74,1041
74,1041
74,1041
67,1132
70,1090
70,1088
37,1133
55,1089
58,1088
84,1029
-41,1155
17,1103
90,1053
90,1053
90,1053
12,1131
17,1129
17,1129
17,1129
-54,1135
15,1106
105,1076
97,1079
93,1063
-7,1136
71,1080
67,1086
63,1092
44,1146
56,1149
56,1149
64,1143
67,1141
67,1141
67,1141
75,1072
72,1110
67,1093
67,1093
28,1223
25,1218
27,1213
27,1213
39,1172
122,1156
233,1158
206,1147
120,1138
94,1137
51,992
66,1060
72,1138
69,1139
-3,1148
76,1004
77,1005
77,1005
32,1136
37,1135
52,1136
108,1160
108,1160
108,1160
74,1016
73,1017
73,1017
90,1144
89,1136
89,1136
83,1129
82,1127
82,1127
82,1127
82,1127
88,1130
88,1130
87,1127
82,1076
82,1076
81,1078
85,1131
84,1129
87,1129
86,1079
86,1131
87,1085
74,1086
47,1087
91,1023
93,1021
20,1149
56,1082
64,1083
56,1162
64,1168
86,991
86,989
86,989
86,989
99,1269
101,1284
80,1020
74,1018
74,1018
74,1018
63,1005
61,1003
488,2061
296,1466
282,1414
282,1414
98,1416
93,1016
95,1015
94,1013
94,1013
146,1261
113,1112
109,1108
155,1083
75,984
74,985
152,1157
136,1130
127,1132
127,1147
40,1117
-80,1246
-80,1246
36,1182
36,1182
36,1182
73,998
72,1001
78,1098
60,1217
62,1202
66,1189
81,1002
54,1115
78,995
74,981
71,975
64,954
116,1123
124,1128
71,978
1805,76
1806,79
1806,83
1806,82
1804,81
1801,82
1801,84
1802,85
1802,86
1803,86
1806,86
1808,87
1811,86
1812,85
1794,140
1797,139
1800,128
1805,106
1808,99
1813,85
1814,80
1815,73
1815,70
1816,67
1819,65
1818,64
1816,62
1816,63
1814,63
1811,64
1809,65
1807,65
1805,67
1801,66
1799,65
1798,64
1797,63
1797,63
1797,64
1796,63
1795,62
1793,60
1792,60
1795,57
1796,55
1797,53
1800,52
1801,52
1802,53
1802,54
1803,57
1805,59
1805,59
1806,57
1807,56
1807,58
1807,59
1808,60
1810,58
1811,58
1811,61
1809,60
1808,59
1808,58
1808,58
1809,59
1810,59
1812,58
1812,58
1813,58
1813,59
1813,62
1814,64
1815,64
1814,66
1814,67
1814,67
1815,68
1816,68
1816,67
1814,68
1815,66
1817,66
1818,67
1819,67
1820,67
1820,67
1820,67
1820,64
1821,64
1821,63
1820,62
1820,63
1819,63
1819,63
1819,64
1819,65
1820,66
1820,66
1819,67
1819,67
1819,66
1818,66
1818,67
1819,68
1819,68
1819,66
1816,65
1816,63
1814,62
1813,62
1814,62
1814,61
1814,60
1814,61
1814,62
1815,63
1814,63
1813,63
1814,63
1815,63
1816,64
1816,64
1817,66
1816,65
1817,65
1817,65
1817,66
1817,67
1818,67
1817,67
1817,66
1817,66
1817,66
1818,65
1818,66
1818,66
1818,67
1818,67
1818,66
1818,66
1818,65
1819,65
1822,68
1823,69
1822,69
1820,68
1820,68
1818,69
1816,68
1838,1060
1830,1054
1828,1053
1819,1055
1817,1057
1814,1054
1816,1053
1816,1054
1818,1053
1820,1050
1823,1039
1825,1035
1831,1022
1831,1019
1834,1021
1836,1026
1836,1031
1833,1034
1834,1035
1836,1033
1838,1027
1838,1026
1842,1025
1843,1025
1842,1020
1842,1019
1842,1015
1836,1016
1830,1020
1825,1027
1823,1033
1824,1035
1826,1035
1828,1032
1829,1031
1829,1036
1828,1037
1829,1042
1829,1042
1828,1045
1827,1049
1827,1053
1820,1061
1817,1062
1806,1065
1805,1064
1803,1067
1799,1071
1800,1068
1801,1066
1798,1071
1799,1070
1803,1069
1808,1067
1814,1065
1817,1063
1820,1061
1827,1056
1828,1055
1834,1052
1844,1045
1847,1042
1847,1034
1846,1034
1842,1037
1841,1038
1839,1040
1834,1046
1829,1053
1828,1053
1826,1050
1825,1049
1821,1048
1816,1050
1809,1058
1805,1057
1804,1056
1802,1051
1805,1047
1808,1038
1811,1022
1812,1016
1825,1013
1827,1013
1832,1013
1834,1013
1838,1015
1839,1014
1839,1011
1836,1010
1833,1007
1831,1005
1826,1000
1825,998
1820,1001
1820,1006
1818,1008
1815,1009
1813,1008
1814,1008
1817,1008
1817,1009
1816,1012
1817,1012
1817,1013
1821,1011
1825,1010
1830,1008
1832,1008
1836,1007
1838,1006
1845,1004
1855,1001
1857,1000
1859,997
1862,995
1863,996
1862,996
1857,999
1854,1000
1853,1001
1847,1002
1845,1006
1844,1010
1842,1014
1844,1015
1847,1017
1849,1016
1851,1013
1850,1009
1849,1007
1848,1005
1847,1005
1843,1001
1843,999
1844,996
1845,991
1846,990
1845,989
1842,989
1839,990
1834,989
1835,991
1835,992
1835,993
1836,993
1835,993
1834,994
1833,995
1832,996
967,519
966,519
964,526
964,528
964,530
964,534
961,534
961,532
964,531
968,531
971,531
972,532
972,532
973,532
975,530
976,529
976,532
976,533
979,535
981,533
980,532
981,534
983,535
983,536
982,534
979,530
974,523
973,521
968,516
963,518
962,520
965,516
962,512
958,515
957,516
956,514
956,512
957,512
957,510
957,509
956,508
955,507
954,510
954,517
953,520
953,522
953,516
953,514
953,510
952,507
953,504
954,505
956,505
958,501
959,500
962,496
962,491
961,487
963,486
964,487
970,489
971,489
970,489
967,491
969,492
970,489
970,487
969,484
969,482
969,483
968,486
967,486
966,486
966,488
966,490
963,496
961,498
961,503
960,506
957,506
957,507
956,507
956,509
957,514
961,516
964,515
964,515
966,514
966,513
965,513
962,512
961,512
960,510
962,511
966,517
964,523
962,521
962,521
960,520
959,519
959,520
955,521
955,521
956,522
955,521
956,521
957,521
958,521
958,520
958,518
958,516
958,510
959,503
963,504
963,504
965,501
967,500
966,500
966,499
966,499
965,499
964,496
963,495
961,493
961,492
961,492
960,492
961,491
962,487
963,487
963,488
964,491
965,493
963,491
963,492
964,493
964,494
963,496
963,498
965,501
963,502
961,501
962,502
962,504
963,506
962,506
961,509
961,510
963,513
965,514
474,557
480,557
481,556
483,565
482,567
478,579
480,599
482,602
486,600
485,598
488,597
492,600
491,600
488,605
484,604
480,602
481,604
484,617
484,615
485,613
485,612
483,613
495,602
496,595
493,591
492,590
487,589
488,594
485,597
486,597
489,597
490,599
490,596
489,589
488,588
490,587
485,585
476,628
480,572
481,569
489,567
492,571
492,571
491,572
482,615
492,576
492,575
490,570
490,571
491,573
493,574
492,581
492,586
489,607
494,606
496,606
476,610
475,611
476,609
483,614
469,627
474,623
485,632
482,637
505,602
483,623
484,622
489,609
488,586
487,580
485,570
498,611
493,573
489,577
504,605
487,591
488,593
489,598
489,600
489,605
502,616
510,607
507,606
525,604
528,602
529,600
528,601
526,597
490,604
493,605
492,611
490,621
519,609
435,661
516,603
436,635
515,599
515,595
516,593
468,611
480,574
482,569
482,565
480,559
483,553
503,587
498,593
499,595
481,570
480,577
501,604
495,608
498,606
500,605
486,586
463,622
466,619
463,622
456,631
483,650
510,573
511,570
500,628
502,621
501,616
510,623
503,569
506,567
510,570
472,646
516,574
521,572
433,665
519,573
521,578
457,646
460,644
522,605
520,608
482,644
486,627
518,632
520,627
522,620
519,633
513,669
515,667
510,617
526,660
512,609
932,266
932,266
931,265
931,266
932,259
933,256
934,256
935,254
934,251
936,249
941,248
941,249
944,249
944,250
944,250
943,251
942,254
940,256
940,257
939,258
940,258
941,253
943,250
944,250
946,251
948,254
949,253
951,252
953,252
955,252
956,254
957,257
957,257
958,258
957,255
958,257
960,264
961,263
961,261
960,259
960,259
960,260
958,261
958,261
959,262
961,263
963,268
963,268
963,269
963,272
963,272
963,269
964,269
964,269
965,270
965,270
966,270
966,271
967,272
967,272
966,273
968,272
968,272
970,273
972,274
973,274
971,275
971,275
970,276
969,275
968,275
968,275
969,276
971,277
971,276
970,277
969,280
968,281
966,281
966,281
967,279
969,279
967,280
963,282
961,282
957,285
954,287
947,288
940,288
937,288
937,289
937,288
935,289
935,289
936,292
936,290
937,288
936,289
935,289
933,289
932,290
932,290
932,293
933,294
936,296
937,297
939,299
940,297
941,296
941,295
941,296
941,296
941,293
941,289
942,289
942,286
942,286
940,287
941,288
941,289
940,291
940,291
938,291
936,292
935,291
936,292
937,291
939,290
939,291
940,293
941,293
943,294
945,296
947,298
950,296
951,295
953,294
953,296
954,295
955,296
954,296
955,292
955,294
955,297
955,298
955,299
955,297
956,299
956,299
