x,y
110,119
110,119
110,117
110,117
108,118
107,118
107,117
106,114
105,113
104,111
103,109
102,108
101,109
99,109
99,108
99,109
99,109
99,108
100,108
100,108
100,105
99,104
100,101
101,100
100,98
99,96
99,96
98,95
97,95
97,92
97,92
96,92
95,93
95,93
95,94
95,95
96,98
97,98
98,99
99,100
101,99
101,99
101,100
101,100
102,101
101,103
100,103
100,103
101,104
101,104
101,103
102,104
103,104
102,104
101,104
102,104
103,105
103,106
104,106
105,107
105,106
105,106
103,107
103,107
102,109
102,110
102,110
103,110
104,112
104,114
104,114
105,114
105,114
104,114
103,114
103,114
103,113
103,113
104,112
104,113
104,114
104,115
104,116
104,116
104,116
104,115
104,115
102,115
103,115
103,115
104,115
104,114
104,114
106,114
107,114
107,114
107,114
108,114
109,114
110,114
110,114
109,114
110,115
109,115
109,115
109,115
109,115
110,115
111,116
113,117
113,117
113,117
112,117
112,117
112,117
114,118
115,119
116,121
115,121
113,121
113,121
113,121
112,121
111,121
110,123
109,123
108,123
106,123
105,123
105,122
107,124
108,124
109,125
109,125
109,126
108,126
108,127
108,126
108,126
109,126
110,127
110,128
111,129
112,130
112,131
113,132
113,132
113,132
113,132
113,134
60,1024
61,1023
60,1024
61,1025
62,1025
62,1026
62,1027
62,1027
62,1027
62,1026
61,1023
62,1022
64,1020
66,1020
66,1020
67,1020
66,1020
67,1021
67,1019
66,1018
65,1016
65,1015
65,1015
65,1016
66,1016
67,1015
67,1015
69,1014
69,1013
70,1012
71,1012
72,1011
73,1011
74,1010
75,1010
78,1010
79,1010
80,1010
79,1012
79,1013
79,1015
79,1015
78,1016
78,1017
78,1018
78,1018
76,1017
77,1017
76,1018
76,1018
76,1020
76,1020
76,1020
76,1023
76,1024
75,1028
74,1028
73,1028
74,1027
75,1027
76,1028
76,1029
78,1029
79,1030
80,1030
81,1031
81,1031
80,1031
80,1031
80,1030
81,1031
80,1032
80,1032
81,1032
79,1032
79,1032
77,1033
76,1033
75,1033
74,1033
75,1034
76,1035
76,1036
76,1036
75,1037
75,1037
77,1037
77,1037
78,1037
78,1037
78,1037
78,1037
78,1038
78,1037
77,1036
77,1036
76,1036
76,1035
76,1035
76,1035
76,1036
75,1035
74,1035
74,1034
75,1034
75,1034
77,1033
78,1033
78,1034
80,1035
80,1035
80,1035
80,1034
80,1035
81,1031
81,1028
84,1024
85,1024
84,1021
85,1020
85,1020
84,1018
84,1017
85,1016
85,1016
85,1015
83,1016
83,1017
82,1018
82,1018
82,1018
82,1019
82,1020
82,1021
82,1022
83,1023
83,1023
82,1023
83,1022
83,1021
83,1021
83,1021
84,1021
85,1022
83,1022
83,1021
83,1020
84,1020
84,1020
84,1021
1821,91
1821,90
1822,87
1821,84
1821,82
1824,81
1830,78
1831,76
1832,73
1833,72
1833,72
1833,70
1834,70
1835,70
1835,69
1835,68
1836,67
1837,67
1837,67
1837,65
1836,66
1835,68
1835,70
1835,70
1836,71
1838,72
1839,72
1840,73
1841,74
1839,75
1836,77
1836,79
1837,81
1836,83
1835,84
1835,86
1835,87
1835,88
1834,89
1834,90
1835,90
1836,90
1835,88
1835,87
1833,86
1832,86
1833,86
1835,84
1836,83
1837,83
1836,82
1835,80
1833,80
1832,79
1831,80
1831,81
1830,81
1830,82
1830,82
1830,82
1830,82
1829,83
1829,85
1829,85
1828,86
1827,87
1827,88
1827,89
1825,90
1824,91
1823,92
1819,92
1815,93
1813,93
1811,95
1810,96
1808,97
1807,99
1806,100
1805,101
1804,102
1803,103
1802,104
1800,106
1799,107
1801,107
1803,107
1803,108
1802,107
1801,107
1801,107
1802,108
1804,107
1806,105
1808,102
1811,99
1813,98
1814,97
1815,95
1815,95
1814,93
1813,92
1813,91
1812,92
1813,92
1813,92
1812,92
1812,92
1814,92
1815,91
1815,92
1817,92
1818,93
1817,92
1817,92
1817,91
1818,91
1819,92
1821,93
1822,94
1822,93
1821,94
1820,94
1818,94
1818,95
1818,95
1818,96
1818,96
1818,97
1817,97
1816,96
1815,97
1813,97
1812,97
1810,98
1810,99
1808,98
1808,98
1808,98
1809,99
1811,100
1812,100
1811,100
1811,100
1812,100
1812,100
1813,100
1814,99
1815,98
1816,97
1861,1003
1859,1001
1856,999
1854,999
1855,999
1855,999
1855,999
1856,998
1856,998
1856,998
1856,998
1855,998
1853,999
1850,999
1850,1000
1849,1000
1850,1000
1852,1001
1852,1002
1851,1002
1850,1002
1850,1002
1850,1003
1851,1003
1852,1004
1855,1005
1853,1003
1851,1002
1847,998
1845,997
1841,992
1842,992
1844,992
1845,993
1845,995
1844,996
1844,996
1844,995
1845,994
1845,994
1846,995
1846,994
1846,993
1847,993
1847,994
1847,994
1846,993
1846,994
1847,994
1847,994
1846,994
1846,995
1847,995
