x,y
140,135
140,135
140,134
140,133
140,133
140,132
140,132
140,131
140,131
139,130
138,130
138,131
139,131
139,130
139,130
139,129
139,129
139,129
138,129
138,129
138,129
137,129
137,129
138,129
138,129
139,130
139,131
139,131
139,132
139,132
139,132
139,132
138,133
139,134
139,134
139,137
139,138
139,140
140,142
140,142
141,142
141,143
142,144
143,145
144,145
144,146
144,146
144,147
144,149
144,149
144,150
144,151
144,153
144,153
144,153
143,153
143,153
143,153
143,153
144,154
145,155
145,155
147,155
147,155
149,154
148,153
148,153
148,153
148,153
147,153
147,152
147,152
146,151
146,151
146,151
145,150
145,150
145,150
145,150
145,150
144,150
144,150
143,150
142,151
142,151
141,151
141,150
141,150
142,150
142,150
142,150
142,150
142,149
141,148
140,148
139,147
139,146
139,146
138,146
139,146
139,146
140,146
140,146
141,146
142,146
143,146
143,146
144,147
144,148
144,148
145,149
145,149
145,149
145,149
145,149
145,148
145,148
145,148
144,148
144,148
145,147
145,147
145,146
145,146
145,147
146,147
146,147
146,149
146,149
146,148
146,147
146,147
146,147
146,147
145,148
145,149
146,149
148,149
148,149
148,150
149,152
149,153
149,153
148,153
148,152
148,151
148,151
148,151
147,151
147,151
98,1006
99,1007
100,1007
102,1008
103,1008
104,1010
106,1010
107,1009
109,1010
109,1010
109,1010
110,1010
109,1010
110,1010
111,1011
113,1010
114,1010
114,1011
114,1010
114,1010
115,1009
115,1009
114,1008
114,1007
114,1007
113,1008
113,1008
112,1008
112,1008
111,1008
110,1007
109,1007
109,1007
109,1007
109,1007
109,1006
109,1006
109,1006
109,1006
109,1006
109,1006
109,1006
110,1005
111,1005
111,1005
110,1006
111,1006
110,1006
110,1006
110,1006
109,1007
109,1008
109,1009
109,1010
110,1011
112,1011
113,1012
114,1012
114,1013
115,1015
116,1016
115,1017
115,1016
115,1016
115,1016
113,1015
113,1015
114,1013
114,1013
114,1012
115,1012
115,1012
116,1012
116,1012
116,1013
115,1014
115,1014
115,1014
115,1013
115,1014
115,1014
116,1014
115,1014
116,1013
116,1014
116,1013
115,1014
115,1014
115,1014
115,1014
115,1015
114,1016
113,1016
113,1016
113,1016
114,1016
114,1016
113,1015
113,1015
114,1016
114,1015
114,1016
114,1017
114,1018
114,1018
114,1019
114,1020
113,1020
112,1020
111,1020
111,1020
109,1020
110,1019
110,1019
110,1019
110,1020
111,1020
110,1019
111,1018
113,1015
113,1014
114,1012
115,1012
115,1012
116,1011
116,1011
115,1010
116,1009
116,1009
116,1009
115,1008
116,1008
116,1009
117,1009
117,1009
117,1008
117,1009
116,1010
117,1011
118,1010
118,1010
120,1009
123,1009
124,1008
124,1008
125,1008
125,1008
124,1009
123,1009
123,1009
1762,132
1762,131
1759,129
1760,130
1762,130
1764,129
1765,130
1765,130
1766,130
1768,130
1768,129
1768,129
1767,128
1766,127
1767,123
1769,117
1770,116
1770,113
1770,113
1770,110
1771,108
1772,106
1772,106
1772,104
1772,103
1771,102
1771,102
1772,101
1772,100
1773,99
1772,98
1771,98
1771,98
1771,98
1771,99
1771,99
1771,98
1771,99
1771,100
1772,100
1772,100
1772,101
1771,102
1771,102
1769,102
1769,102
1768,103
1768,103
1767,105
1766,105
1766,105
1766,105
1765,105
1764,106
1764,106
1763,107
1762,108
1762,108
1761,108
1759,107
1759,106
1758,106
1757,106
1756,106
1756,107
1756,107
1756,107
1756,107
1754,108
1754,109
1755,110
1756,110
1756,111
1756,112
1756,112
1756,112
1756,112
1756,112
1756,112
1757,112
1757,113
1757,113
1757,113
1757,114
1757,114
1756,114
1756,114
1757,115
1757,115
1757,116
1757,116
1756,116
1757,116
1756,116
1756,116
1756,118
1756,118
1756,118
1757,117
1757,116
1758,117
1759,117
1759,117
1759,117
1758,116
1757,115
1756,115
1756,116
1756,117
1755,119
1752,121
1752,121
1751,123
1751,124
1749,125
1750,125
1750,125
1750,125
1750,126
1750,126
1750,126
1749,126
1749,126
1750,126
1750,126
1749,126
1749,126
1748,127
1748,127
1747,127
1746,127
1746,128
1747,128
1747,128
1746,128
