x,y
1732,501
1365,378
811,95
811,95
811,95
811,95
811,95
811,95
811,95
811,95
785,80
777,76
767,70
762,68
754,65
744,61
725,54
717,48
714,45
711,43
708,42
707,41
706,40
705,40
705,40
705,40
706,40
707,40
707,40
707,40
707,41
706,41
706,42
707,43
712,43
728,44
739,45
759,46
768,46
777,46
791,47
796,47
805,48
809,49
811,50
815,50
817,51
824,51
834,51
848,51
876,49
887,48
904,46
910,45
919,44
922,44
925,44
929,44
930,43
931,43
933,43
940,43
977,43
1003,44
1026,45
1060,46
1071,47
1088,48
1094,48
1101,48
1103,48
1105,49
1109,49
1112,49
1112,50
1113,50
1114,49
1114,49
1115,48
1115,47
1116,47
1116,47
1114,46
1107,48
1071,56
1041,62
1011,70
961,84
926,93
914,95
904,97
890,99
884,101
877,103
876,104
874,104
871,104
870,104
870,104
870,105
869,105
867,105
866,104
866,103
866,102
865,102
865,103
867,104
879,122
890,141
902,165
920,205
927,221
936,242
938,249
940,254
942,261
943,264
946,270
950,273
955,276
964,281
967,283
970,286
971,287
972,288
974,289
975,289
976,289
976,289
976,289
977,288
977,288
979,287
979,287
979,287
979,287
979,287
982,286
985,281
998,256
1005,236
1013,215
1024,181
1028,169
1031,160
1037,140
1040,131
1042,117
1043,112
1043,107
1042,106
1042,104
1043,101
1042,99
1042,99
1042,99
1042,99
1042,99
1042,99
1042,99
1042,99
1042,99
1042,98
1042,99
1042,99
1042,98
1042,98
1042,98
1042,98
1042,98
1042,98
1042,98
1042,99
1041,99
1035,100
1022,100
1002,101
959,105
925,108
912,109
901,110
893,111
879,111
869,110
866,110
862,109
858,109
857,109
855,108
855,107
854,107
853,107
852,106
851,106
851,107
850,107
849,107
849,107
849,111
849,120
850,133
851,163
852,176
853,202
854,218
852,235
850,261
849,270
848,282
848,285
848,288
849,293
849,295
848,297
848,298
849,299
847,299
845,297
840,295
839,294
837,293
837,293
836,293
834,292
834,292
833,291
832,291
832,291
831,289
830,289
829,289
829,289
829,289
829,290
829,290
829,290
829,290
829,290
828,291
828,291
828,292
827,292
827,292
827,292
827,292
827,292
827,291
827,291
827,292
827,291
827,291
828,291
832,291
857,291
875,291
906,292
919,293
931,293
948,295
959,296
963,296
966,296
970,297
972,296
975,297
976,296
977,296
978,296
979,296
980,294
981,295
981,295
981,296
982,296
983,296
983,297
983,297
983,297
983,297
984,296
984,296
984,296
984,296
983,296
983,296
983,295
983,295
983,295
983,295
984,295
984,295
984,295
984,295
984,295
983,294
983,294
983,293
983,293
983,293
982,292
982,291
981,290
981,290
981,290
981,289
981,289
981,289
981,288
981,288
980,288
980,288
980,288
980,288
980,288
979,289
979,289
979,289
979,289
979,289
979,288
979,288
980,288
980,288
980,290
979,306
976,331
969,411
966,452
965,487
964,545
963,600
962,618
960,632
959,642
959,652
959,658
960,661
960,664
960,665
959,666
959,666
959,667
959,667
959,669
959,669
958,671
956,670
953,669
950,669
947,669
944,669
943,669
942,670
941,672
941,672
940,672
940,673
940,673
941,673
941,675
940,679
939,689
939,698
939,702
939,705
939,709
940,715
940,718
940,719
939,720
936,723
934,726
930,730
929,732
928,733
926,734
925,735
924,735
924,735
923,736
922,737
920,736
914,733
912,730
909,728
905,724
903,722
900,718
898,717
897,716
896,715
895,714
894,714
894,714
893,713
893,713
893,713
893,714
892,714
892,714
891,714
891,713
891,713
891,713
891,712
891,712
891,712
890,712
890,712
890,711
890,711
890,711
890,712
890,711
890,711
889,711
889,712
890,712
890,712
890,712
890,711
890,711
890,712
894,716
897,718
899,721
902,723
907,729
911,735
912,737
914,738
915,740
917,743
918,746
919,748
919,749
919,750
921,750
921,750
921,751
921,751
921,751
922,751
921,752
921,752
921,752
921,751
921,751
924,749
927,748
929,747
933,746
935,746
938,745
939,745
940,745
942,746
942,745
943,744
944,744
944,744
944,744
945,744
959,741
971,737
982,731
1003,720
1010,716
1023,710
1028,707
1033,704
1040,699
1042,698
1046,695
1047,695
1048,696
1049,696
1050,695
1050,695
1051,695
1051,694
1051,695
1052,695
1052,694
1051,694
1051,694
1052,694
1052,694
1052,694
1052,694
1052,693
1052,692
1052,692
1052,691
1052,691
1052,691
1052,690
1053,690
1053,691
1053,691
1053,690
1053,690
1053,690
1052,690
1052,689
1052,689
1052,689
1052,688
1052,687
1052,686
1053,686
1053,686
1052,686
1052,686
1049,686
1031,683
1019,680
1007,677
986,674
978,672
964,668
959,667
951,666
948,666
944,666
942,666
940,666
938,665
937,665
936,666
934,666
934,666
932,667
933,667
940,670
946,671
950,673
961,675
966,676
975,679
979,680
982,681
988,683
991,684
995,685
996,686
998,686
1001,687
1002,687
1004,688
1004,688
1005,689
1009,690
1012,692
1018,694
1020,696
1021,696
1024,697
1025,698
1027,699
1028,700
1029,701
1031,702
1032,703
1033,703
1033,703
1033,703
1034,704
1034,704
1035,704
1035,704
1035,704
1035,704
1036,704
1036,704
1036,704
1037,704
1037,704
1037,704
1038,703
1037,703
1037,703
1037,703
1037,703
1037,702
1036,702
1036,701
1036,701
1034,701
1015,697
988,692
977,690
966,688
957,686
943,684
932,682
928,681
925,680
923,681
920,680
917,680
916,680
916,680
915,680
916,680
924,680
927,679
930,678
933,678
937,679
941,679
942,678
943,678
945,678
947,677
949,677
949,676
950,676
951,675
951,676
948,678
946,679
944,680
942,681
939,683
936,686
934,687
933,688
932,689
931,691
929,693
928,693
928,694
936,696
942,697
953,699
958,699
963,700
970,700
972,700
976,701
978,701
979,702
983,703
985,703
988,704
989,703
989,703
991,703
991,703
992,703
992,703
992,702
992,702
992,702
993,702
993,702
993,702
993,703
993,703
993,704
993,704
993,704
993,704
993,704
992,704
992,704
996,705
1004,704
1023,703
1106,691
